measurement_id,form_id,manifestation_id,form_type,overall_fidelity,structural_fidelity,behavioral_fidelity,temporal_fidelity,relational_fidelity,distortion_present,distortion_type,distortion_severity,distortion_systematic,distortion_source,location,region,dens_proximity_km,barrier_thickness,expected_fidelity,fidelity_deviation,assessment_year,assessor,comparison_method,reference_source,confidence,notes
IF-0246,,IE-0148,place,0.59,0.52,,0.68,0.61,True,noise,moderate,True,competing_form,Southern approach,Yeller Quarry,152.9,moderate,0.7,-0.11,918,Boundary Commission,theoretical_prediction,theoretical_model,0.57,
IF-0247,,,phenomenon,0.78,0.78,,0.76,0.71,True,hybrid_contamination,moderate,True,noise,Southern perimeter,Dens boundary,31.4,thin,0.85,-0.07,918,Capital Survey Team,form_catalog_comparison,consensus_description,0.62,
IF-0248,FORM-0956,,behavior,0.73,0.78,0.86,0.79,0.63,True,temporal,significant,True,substrate_limitation,Southern perimeter,Dens boundary,58.8,thin,0.85,-0.12,932,E. Pol,historical_comparison,indigenous_knowledge,0.58,
IF-0249,,IE-0058,place,0.57,0.55,,0.57,0.6,True,scale,moderate,True,noise,Siege fields,Tower of Mirado,245.9,thick,0.55,0.02,923,Ingression Study Group,historical_comparison,consensus_description,0.9,
IF-0250,FORM-0500,IE-0397,pattern,0.95,0.95,,1.0,0.94,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.1,919,Boundary Commission,theoretical_prediction,theoretical_model,0.78,
IF-0251,FORM-0931,IE-0104,relationship,0.55,0.51,,0.63,0.61,True,hybrid_contamination,significant,True,competing_form,Suburban zone,Densmok,217.8,moderate,0.7,-0.15,926,Capital Survey Team,historical_comparison,prior_manifestation,0.71,
IF-0252,,,behavior,0.6,0.58,0.49,0.56,0.54,True,temporal,severe,True,barrier_interference,Ascetic village,Northo,288.4,moderate,0.7,-0.1,919,T. Mord,historical_comparison,theoretical_model,0.81,
IF-0253,FORM-0244,IE-0079,hybrid,0.63,0.64,,0.6,0.61,True,temporal,minor,True,substrate_limitation,Third Mill,Yeller Quarry,172.1,moderate,0.7,-0.07,920,A. Prebel,form_catalog_comparison,pol_form_library,0.64,
IF-0254,FORM-0253,IE-0385,place,0.61,0.65,,0.57,0.53,True,scale,significant,False,temporal_smearing,Klutch CC vicinity,Densmok,203.1,moderate,0.7,-0.09,929,S. Moll,form_catalog_comparison,prior_manifestation,0.88,
IF-0255,,IE-0254,phenomenon,0.55,0.65,,0.47,0.53,True,noise,moderate,False,barrier_interference,Capital outskirts,Capital,206.5,moderate,0.7,-0.15,920,M. Strand,form_catalog_comparison,prior_manifestation,0.65,
IF-0256,FORM-0451,,creature,0.81,0.87,0.85,0.8,0.8,False,none,none,,,Eastern fluctuation zone,Dens boundary,36.9,moderate,0.7,0.11,921,Ingression Study Group,theoretical_prediction,pol_form_library,0.71,
IF-0257,,IE-0142,relationship,0.43,0.47,,0.52,0.44,True,proportion,minor,False,noise,Capital proper,Capital,219.4,thick,0.55,-0.12,932,E. Pol,historical_comparison,prior_manifestation,0.67,
IF-0258,,IE-0244,phenomenon,0.82,0.78,,0.77,0.83,False,none,none,,,Southern approach,Yeller Quarry,148.7,moderate,0.7,0.12,935,S. Moll,expert_judgment,indigenous_knowledge,0.92,
IF-0259,FORM-0843,IE-0381,behavior,0.51,0.53,0.38,0.47,0.49,True,noise,significant,True,observer_effect,Archive vicinity,Capital,254.9,thick,0.55,-0.04,934,Capital Survey Team,behavioral_testing,indigenous_knowledge,0.63,
IF-0260,FORM-0453,IE-0360,structure,0.8,0.74,,0.9,0.81,False,none,none,,,Third Mill,Yeller Quarry,172.4,moderate,0.7,0.1,929,Capital Survey Team,theoretical_prediction,prior_manifestation,0.69,
IF-0261,FORM-0835,IE-0105,structure,0.7,0.61,,0.65,0.74,True,symmetry,significant,False,barrier_interference,Dens deep,Dens,0.0,thin,0.85,-0.15,921,E. Pol,theoretical_prediction,theoretical_model,0.53,
IF-0262,,IE-0371,place,0.38,0.28,,0.32,0.45,True,behavioral,moderate,False,barrier_interference,Lake vicinity,Northo,364.5,very_thick,0.4,-0.02,919,T. Mord,theoretical_prediction,consensus_description,0.93,
IF-0263,FORM-0730,IE-0113,phenomenon,0.99,0.95,,0.92,0.96,False,none,none,,,Dissolution zone,Dens,0.0,thin,0.85,0.14,928,Boundary Commission,structural_analysis,indigenous_knowledge,0.75,
IF-0264,,,place,0.91,0.9,,0.88,0.83,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.06,921,M. Strand,structural_analysis,indigenous_knowledge,0.92,
IF-0265,FORM-0945,IE-0331,phenomenon,0.69,0.63,,0.61,0.7,True,symmetry,moderate,True,spatial_curvature,Siege fields,Tower of Mirado,203.8,thick,0.55,0.14,921,E. Pol,historical_comparison,theoretical_model,0.69,
IF-0266,,,structure,0.7,0.64,,0.64,0.67,True,behavioral,significant,False,observer_effect,Lake vicinity,Northo,253.5,moderate,0.7,0.0,927,Boundary Commission,structural_analysis,consensus_description,0.81,
IF-0267,FORM-0762,IE-0038,behavior,0.7,0.7,0.62,0.61,0.63,True,hybrid_contamination,moderate,True,barrier_interference,Klutch CC vicinity,Densmok,269.2,moderate,0.7,0.0,920,T. Mord,structural_analysis,indigenous_knowledge,0.93,
IF-0268,,IE-0098,place,0.69,0.68,,0.78,0.74,True,hybrid_contamination,minor,True,barrier_interference,Sector NE-4,Dens boundary,51.5,moderate,0.7,-0.01,923,C. Vells,form_catalog_comparison,consensus_description,0.56,
IF-0269,FORM-0665,IE-0272,relationship,0.73,0.67,,0.71,0.76,True,topology,minor,False,observer_effect,Third Mill,Yeller Quarry,110.0,thin,0.85,-0.12,923,E. Pol,behavioral_testing,pol_form_library,0.67,
IF-0270,,IE-0365,relationship,0.86,0.93,,0.85,0.86,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.01,930,Capital Survey Team,expert_judgment,theoretical_model,0.89,
IF-0271,FORM-0110,IE-0347,hybrid,0.81,0.72,,0.82,0.84,False,none,none,,,Scholar's Quarter,Capital,220.1,moderate,0.7,0.11,927,E. Pol,form_catalog_comparison,consensus_description,0.51,
IF-0272,,IE-0229,behavior,0.71,0.64,0.58,0.65,0.61,True,temporal,significant,True,temporal_smearing,Dens interior,Dens,0.0,thin,0.85,-0.14,928,A. Prebel,historical_comparison,pol_form_library,0.86,
IF-0273,FORM-0325,IE-0102,phenomenon,0.78,0.78,,0.75,0.77,True,scale,moderate,True,spatial_curvature,Archive vicinity,Capital,219.6,moderate,0.7,0.08,925,A. Vells,theoretical_prediction,consensus_description,0.55,
IF-0274,FORM-0213,IE-0097,phenomenon,0.69,0.78,,0.77,0.76,True,proportion,minor,False,noise,Tower base,Tower of Mirado,229.9,thick,0.55,0.14,925,A. Prebel,form_catalog_comparison,indigenous_knowledge,0.73,
IF-0275,FORM-0982,IE-0307,place,0.91,0.83,,0.93,0.98,False,none,none,,,Eastern fluctuation zone,Dens boundary,27.3,thin,0.85,0.06,918,Boundary Commission,expert_judgment,pol_form_library,0.86,
IF-0276,FORM-0428,IE-0088,place,0.61,0.64,,0.61,0.54,True,proportion,severe,True,noise,Klutch CC vicinity,Densmok,252.1,thick,0.55,0.06,935,C. Vells,form_catalog_comparison,theoretical_model,0.73,
IF-0277,FORM-0863,IE-0017,phenomenon,0.63,0.56,,0.62,0.72,True,proportion,significant,True,spatial_curvature,Northern approach,Tower of Mirado,248.7,moderate,0.7,-0.07,926,M. Strand,expert_judgment,pol_form_library,0.82,
IF-0278,FORM-0347,IE-0327,place,0.4,0.48,,0.48,0.43,True,scale,minor,False,barrier_interference,Northern approach,Tower of Mirado,218.1,thick,0.55,-0.15,931,M. Strand,theoretical_prediction,pol_form_library,0.77,
IF-0279,FORM-0842,,creature,0.63,0.66,0.49,0.55,0.72,True,noise,minor,True,noise,Lake vicinity,Northo,336.0,thick,0.55,0.08,918,Capital Survey Team,form_catalog_comparison,theoretical_model,0.59,
IF-0280,FORM-0533,IE-0214,structure,0.6,0.6,,0.6,0.63,True,proportion,minor,False,spatial_curvature,Suburban zone,Densmok,233.9,moderate,0.7,-0.1,930,Field Team,historical_comparison,consensus_description,0.72,
IF-0281,FORM-0089,,creature,0.56,0.66,0.57,0.62,0.52,True,proportion,moderate,True,substrate_limitation,Educational district,Densmok,207.9,moderate,0.7,-0.14,934,A. Vells,theoretical_prediction,theoretical_model,0.57,
IF-0282,FORM-0139,,relationship,0.79,0.79,,0.76,0.88,True,behavioral,minor,False,barrier_interference,Northern approach,Tower of Mirado,215.8,moderate,0.7,0.09,922,Boundary Commission,structural_analysis,theoretical_model,0.92,
IF-0283,FORM-0478,,place,0.67,0.76,,0.7,0.68,True,noise,minor,True,noise,Coder quarter,Densmok,240.1,thick,0.55,0.12,932,A. Vells,form_catalog_comparison,pol_form_library,0.53,
IF-0284,FORM-0519,IE-0394,place,0.55,0.61,,0.6,0.6,True,hybrid_contamination,significant,True,barrier_interference,Tower base,Tower of Mirado,204.4,thick,0.55,0.0,931,A. Vells,theoretical_prediction,pol_form_library,0.62,
IF-0285,FORM-0608,,relationship,0.43,0.5,,0.36,0.53,True,topology,significant,True,substrate_limitation,Capital outskirts,Capital,271.6,thick,0.55,-0.12,924,A. Vells,behavioral_testing,indigenous_knowledge,0.62,
IF-0286,FORM-0992,IE-0332,hybrid,0.84,0.9,,0.78,0.94,False,none,none,,,Mill vicinity,Yeller Quarry,102.7,moderate,0.7,0.14,934,Boundary Commission,theoretical_prediction,indigenous_knowledge,0.86,
IF-0287,FORM-0490,IE-0257,creature,0.68,0.6,0.74,0.58,0.76,True,behavioral,moderate,True,temporal_smearing,Southern camps,Tower of Mirado,236.5,moderate,0.7,-0.02,919,Boundary Commission,theoretical_prediction,indigenous_knowledge,0.52,
IF-0288,FORM-0130,IE-0084,pattern,0.8,0.77,,0.77,0.89,True,temporal,minor,False,substrate_limitation,Southern perimeter,Dens boundary,38.5,thin,0.85,-0.05,923,Capital Survey Team,behavioral_testing,indigenous_knowledge,0.68,
IF-0289,,IE-0274,structure,0.76,0.83,,0.8,0.72,True,scale,minor,True,substrate_limitation,Northern margin,Dens boundary,23.2,thin,0.85,-0.09,926,Ingression Study Group,expert_judgment,prior_manifestation,0.74,
IF-0290,FORM-0186,IE-0087,hybrid,0.47,0.57,,0.4,0.54,True,noise,significant,False,substrate_limitation,Klutch CC vicinity,Densmok,204.6,thick,0.55,-0.08,922,T. Mord,form_catalog_comparison,consensus_description,0.56,
IF-0291,FORM-0462,,relationship,0.82,0.73,,0.91,0.76,False,none,none,,,Tower base,Tower of Mirado,153.6,thin,0.85,-0.03,921,E. Pol,form_catalog_comparison,prior_manifestation,0.81,
IF-0292,FORM-0128,,phenomenon,0.63,0.67,,0.71,0.6,True,topology,minor,False,barrier_interference,Klutch CC vicinity,Densmok,200.9,moderate,0.7,-0.07,926,A. Prebel,form_catalog_comparison,theoretical_model,0.89,
IF-0293,FORM-0754,IE-0384,hybrid,0.85,0.87,,0.92,0.83,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.0,918,Ingression Study Group,expert_judgment,theoretical_model,0.74,
IF-0294,FORM-0106,IE-0398,phenomenon,0.69,0.74,,0.79,0.77,True,proportion,severe,False,substrate_limitation,Southern camps,Tower of Mirado,176.3,moderate,0.7,-0.01,927,T. Mord,expert_judgment,indigenous_knowledge,0.62,
IF-0295,,,structure,0.82,0.8,,0.8,0.84,False,none,none,,,Eastern fluctuation zone,Dens boundary,55.0,thin,0.85,-0.03,934,A. Prebel,behavioral_testing,consensus_description,0.6,
IF-0296,,IE-0080,creature,0.98,0.95,1.0,0.98,1.0,False,none,none,,,Trapper territory,Yeller Quarry,137.2,thin,0.85,0.13,924,E. Pol,expert_judgment,indigenous_knowledge,0.71,
IF-0297,FORM-0180,,phenomenon,0.83,0.83,,0.86,0.8,False,none,none,,,Quarry Sector 7,Yeller Quarry,163.3,moderate,0.7,0.13,923,Capital Survey Team,behavioral_testing,pol_form_library,0.81,
IF-0298,FORM-0411,,creature,0.78,0.74,0.84,0.81,0.79,True,noise,severe,True,observer_effect,Quarry Sector 7,Yeller Quarry,102.6,thin,0.85,-0.07,921,Ingression Study Group,historical_comparison,pol_form_library,0.73,
IF-0299,,IE-0181,creature,0.78,0.79,0.92,0.8,0.84,True,proportion,moderate,True,substrate_limitation,Eastern fluctuation zone,Dens boundary,30.8,thin,0.85,-0.07,923,T. Mord,expert_judgment,indigenous_knowledge,0.89,
IF-0300,FORM-0015,IE-0046,hybrid,0.68,0.67,,0.61,0.71,True,topology,minor,True,noise,Capital proper,Capital,239.2,moderate,0.7,-0.02,920,A. Prebel,structural_analysis,theoretical_model,0.75,
