journey_id,trader_id,journey_number,archetype_classification,classification_confidence,signature_vector,cluster_id,outlier_score,trajectory_position
JRN-BAG-0317,TRAV-BAGBU,317,JRN-UN,0.279,"[0.259,0.342,0.472,0.661,0.318,0.675,0.192,0.706,0.528,0.684]",18,0.664,0.792
JRN-BAG-0318,TRAV-BAGBU,318,JRN-WH,0.795,"[0.455,0.463,0.646,0.542,0.546,0.457,0.479,0.449,0.537,0.241]",5,0.098,0.795
JRN-BAG-0319,TRAV-BAGBU,319,JRN-HA,0.694,"[0.583,0.717,0.969,0.896,0.790,0.488,0.734,0.513,0.148,1.000]",12,0.429,0.797
JRN-BAG-0320,TRAV-BAGBU,320,JRN-WH,0.812,"[0.601,0.472,0.482,0.350,0.919,0.160,0.196,0.421,0.530,0.766]",5,0.151,0.8
JRN-BAG-0321,TRAV-BAGBU,321,JRN-DO,0.644,"[0.238,0.133,0.525,0.000,0.289,0.496,1.000,0.920,0.926,0.306]",9,0.119,0.802
JRN-BAG-0322,TRAV-BAGBU,322,JRN-WH,0.873,"[0.714,0.300,0.437,0.731,0.489,0.428,0.373,0.652,0.398,0.498]",5,0.135,0.805
JRN-BAG-0323,TRAV-BAGBU,323,JRN-HA,0.735,"[0.447,0.779,1.000,0.790,0.628,0.317,0.454,0.455,0.218,1.000]",13,0.362,0.807
JRN-BAG-0324,TRAV-BAGBU,324,JRN-UN,0.235,"[0.546,0.299,0.319,0.685,0.452,0.688,0.260,0.490,0.358,0.613]",18,0.46,0.81
JRN-BAG-0325,TRAV-BAGBU,325,JRN-WH,0.807,"[0.444,0.371,0.339,0.972,0.619,0.484,0.607,0.544,0.000,0.935]",4,0.329,0.812
JRN-BAG-0326,TRAV-BAGBU,326,JRN-WH,0.838,"[0.374,0.465,0.446,0.218,0.757,0.340,0.364,0.516,0.610,0.728]",8,0.317,0.815
JRN-BAG-0327,TRAV-BAGBU,327,JRN-WH,0.872,"[0.386,0.338,0.459,0.408,0.648,0.675,0.764,0.304,0.203,0.640]",5,0.028,0.818
JRN-BAG-0328,TRAV-BAGBU,328,JRN-WH,0.792,"[0.339,0.571,0.476,0.373,0.781,0.463,0.247,0.613,0.394,0.362]",6,0.157,0.82
JRN-BAG-0329,TRAV-BAGBU,329,JRN-WH,0.812,"[0.601,0.733,0.410,0.424,0.401,0.456,0.526,0.727,0.355,0.677]",7,0.229,0.823
JRN-BAG-0330,TRAV-BAGBU,330,JRN-WH,0.89,"[0.717,0.604,0.360,0.564,0.575,0.750,0.551,0.618,0.511,0.289]",5,0.186,0.825
JRN-BAG-0331,TRAV-BAGBU,331,JRN-HA,0.57,"[0.917,0.571,0.825,0.848,0.803,0.753,0.736,0.464,0.205,0.789]",14,0.471,0.828
JRN-BAG-0332,TRAV-BAGBU,332,JRN-WH,0.889,"[0.427,0.337,0.479,0.521,0.461,0.681,0.495,0.306,0.649,0.331]",4,0.057,0.83
JRN-BAG-0333,TRAV-BAGBU,333,JRN-WH,0.855,"[0.518,0.378,0.563,0.608,0.700,0.388,0.638,0.405,0.460,0.448]",8,0.232,0.833
JRN-BAG-0334,TRAV-BAGBU,334,JRN-UN,0.444,"[0.570,0.396,0.383,0.763,0.426,0.754,0.107,0.548,0.356,0.403]",20,0.629,0.835
JRN-BAG-0335,TRAV-BAGBU,335,JRN-HA,0.766,"[0.997,0.827,0.858,0.653,0.736,0.367,0.704,0.368,0.402,0.860]",12,0.375,0.838
JRN-BAG-0336,TRAV-BAGBU,336,JRN-WH,0.892,"[0.171,0.544,0.571,0.506,0.452,0.413,0.727,0.620,0.470,0.635]",5,0.294,0.84
JRN-BAG-0337,TRAV-BAGBU,337,JRN-LF,0.857,"[0.000,0.276,0.084,0.196,0.982,0.126,0.000,0.710,0.148,0.133]",3,0.357,0.843
JRN-BAG-0338,TRAV-BAGBU,338,JRN-WH,0.887,"[0.513,0.581,0.526,0.477,0.466,0.635,0.323,0.566,0.393,0.542]",7,0.085,0.845
JRN-BAG-0339,TRAV-BAGBU,339,JRN-UN,0.256,"[0.224,0.352,0.082,0.452,0.473,0.648,0.000,0.335,0.505,0.570]",17,0.648,0.848
JRN-BAG-0340,TRAV-BAGBU,340,JRN-HA,0.803,"[0.633,0.679,0.978,0.659,0.687,0.420,0.469,0.331,0.105,0.888]",14,0.453,0.85
JRN-BAG-0341,TRAV-BAGBU,341,JRN-WH,0.795,"[0.239,0.629,0.488,0.696,0.255,0.260,0.368,0.384,0.477,0.325]",5,0.154,0.853
JRN-BAG-0342,TRAV-BAGBU,342,JRN-WH,0.813,"[0.427,0.708,0.532,0.715,0.697,0.671,0.000,0.384,0.570,0.302]",4,0.047,0.855
JRN-BAG-0343,TRAV-BAGBU,343,JRN-DO,0.793,"[0.232,0.000,0.067,0.094,0.328,0.709,0.669,1.000,0.773,0.176]",9,0.265,0.858
JRN-BAG-0344,TRAV-BAGBU,344,JRN-UN,0.368,"[0.667,0.563,0.093,0.391,0.424,0.645,0.183,0.366,0.626,0.288]",19,0.585,0.86
JRN-BAG-0345,TRAV-BAGBU,345,JRN-WH,0.903,"[0.473,0.490,0.381,0.437,0.731,0.366,0.578,0.534,0.574,0.385]",7,0,0.863
JRN-BAG-0346,TRAV-BAGBU,346,JRN-WH,0.846,"[0.294,0.665,0.312,0.464,0.375,0.652,0.531,0.390,0.502,0.149]",5,0.173,0.865
JRN-BAG-0347,TRAV-BAGBU,347,JRN-WH,0.81,"[0.557,0.246,0.639,0.416,0.670,0.527,0.403,0.500,0.716,0.388]",8,0.067,0.868
JRN-BAG-0348,TRAV-BAGBU,348,JRN-HA,0.579,"[0.924,0.664,0.828,0.674,0.636,0.559,0.322,0.748,0.309,0.622]",12,0.226,0.87
JRN-BAG-0349,TRAV-BAGBU,349,JRN-WH,0.931,"[0.282,0.472,0.425,0.682,0.380,0.793,0.458,0.589,0.478,0.630]",7,0.062,0.873
JRN-BAG-0350,TRAV-BAGBU,350,JRN-WH,0.799,"[0.395,0.650,0.613,0.386,0.464,0.754,0.406,0.418,0.459,0.381]",8,0.296,0.875
JRN-BAG-0351,TRAV-BAGBU,351,JRN-WH,0.802,"[0.540,0.472,0.453,0.543,0.318,0.647,0.664,0.367,0.440,0.348]",6,0.029,0.877
JRN-BAG-0352,TRAV-BAGBU,352,JRN-DO,0.788,"[0.456,0.399,0.361,0.118,0.000,0.925,0.949,0.878,0.736,0.120]",10,0.334,0.88
JRN-BAG-0353,TRAV-BAGBU,353,JRN-WH,0.941,"[0.634,0.341,0.628,0.422,0.431,0.289,0.575,0.199,0.464,0.511]",7,0.187,0.882
JRN-BAG-0354,TRAV-BAGBU,354,JRN-UN,0.299,"[0.512,0.438,0.252,0.821,0.567,0.539,0.172,0.343,0.185,0.351]",18,0.479,0.885
JRN-BAG-0355,TRAV-BAGBU,355,JRN-WH,0.821,"[0.646,0.476,0.352,0.732,0.279,0.358,0.258,0.604,0.394,0.470]",4,0.089,0.887
JRN-BAG-0356,TRAV-BAGBU,356,JRN-UN,0.24,"[0.164,0.469,0.361,0.479,0.443,0.332,0.413,0.420,0.214,0.557]",20,0.419,0.89
JRN-BAG-0357,TRAV-BAGBU,357,JRN-DO,0.625,"[0.446,0.000,0.198,0.098,0.152,0.768,0.654,0.871,0.713,0.153]",11,0.261,0.892
JRN-BAG-0358,TRAV-BAGBU,358,JRN-HA,0.754,"[0.712,0.633,0.574,0.898,0.788,0.463,0.384,0.569,0.060,0.998]",12,0.432,0.895
JRN-BAG-0359,TRAV-BAGBU,359,JRN-LF,0.801,"[0.194,0.278,0.256,0.231,0.723,0.087,0.064,0.651,0.105,0.141]",1,0.086,0.897
JRN-BAG-0360,TRAV-BAGBU,360,JRN-WH,0.937,"[0.515,0.793,0.927,0.461,0.429,0.524,0.512,0.469,0.330,0.079]",4,0.218,0.9
JRN-BAG-0361,TRAV-BAGBU,361,JRN-WH,0.917,"[0.681,0.357,0.690,0.411,0.349,0.545,0.563,0.366,0.524,0.656]",4,0,0.902
JRN-BAG-0362,TRAV-BAGBU,362,JRN-WH,0.865,"[0.363,0.676,0.412,0.541,0.509,0.357,0.515,0.165,0.315,0.713]",8,0.178,0.905
JRN-BAG-0363,TRAV-BAGBU,363,JRN-UN,0.544,"[0.341,0.513,0.350,0.559,0.157,0.543,0.359,0.485,0.221,0.300]",17,0.336,0.907
JRN-BAG-0364,TRAV-BAGBU,364,JRN-WH,0.782,"[0.288,0.332,0.487,0.484,0.344,0.760,0.434,0.490,0.539,0.721]",8,0.022,0.91
JRN-BAG-0365,TRAV-BAGBU,365,JRN-WH,0.887,"[0.303,0.403,0.436,0.737,0.670,0.529,0.542,0.543,0.524,0.388]",8,0.062,0.912
JRN-BAG-0366,TRAV-BAGBU,366,JRN-LF,0.68,"[0.391,0.408,0.000,0.122,0.779,0.318,0.334,0.808,0.294,0.062]",1,0.146,0.915
JRN-BAG-0367,TRAV-BAGBU,367,JRN-UN,0.408,"[0.531,0.286,0.174,0.677,0.272,0.296,0.398,0.671,0.427,0.458]",17,0.502,0.917
JRN-BAG-0368,TRAV-BAGBU,368,JRN-WH,0.848,"[0.426,0.139,0.554,0.597,0.449,0.439,0.364,0.485,0.684,0.386]",7,0.133,0.92
JRN-BAG-0369,TRAV-BAGBU,369,JRN-WH,0.834,"[0.482,0.460,0.686,0.394,0.653,0.457,0.758,0.354,0.440,0.602]",4,0.096,0.922
JRN-BAG-0370,TRAV-BAGBU,370,JRN-WH,0.895,"[0.699,0.480,0.301,0.546,0.628,0.465,0.412,0.286,0.434,0.511]",4,0.086,0.925
JRN-BAG-0371,TRAV-BAGBU,371,JRN-WH,0.897,"[0.523,0.620,0.512,0.531,0.797,0.693,0.342,0.263,0.704,0.435]",4,0.217,0.927
JRN-BAG-0372,TRAV-BAGBU,372,JRN-WH,0.91,"[0.606,0.684,0.359,0.496,0.668,0.697,0.416,0.607,0.444,0.209]",6,0.196,0.93
JRN-BAG-0373,TRAV-BAGBU,373,JRN-WH,0.913,"[0.525,0.355,0.474,0.546,0.613,0.468,0.338,0.564,0.686,0.411]",5,0.071,0.932
JRN-BAG-0374,TRAV-BAGBU,374,JRN-WH,0.853,"[0.443,0.703,0.376,0.547,0.535,0.397,0.451,0.199,0.607,0.627]",4,0.215,0.935
JRN-BAG-0375,TRAV-BAGBU,375,JRN-DO,0.675,"[0.362,0.000,0.000,0.066,0.000,0.709,0.946,0.683,0.841,0.018]",9,0.086,0.938
JRN-BAG-0376,TRAV-BAGBU,376,JRN-HA,0.586,"[0.952,0.830,0.844,0.637,0.662,0.345,0.220,0.556,0.400,0.760]",13,0.34,0.94
JRN-BAG-0377,TRAV-BAGBU,377,JRN-HA,0.637,"[0.819,0.738,0.827,0.765,0.693,0.299,0.404,0.296,0.483,0.808]",14,0.36,0.943
JRN-BAG-0378,TRAV-BAGBU,378,JRN-LF,0.919,"[0.138,0.146,0.104,0.076,0.868,0.000,0.040,0.328,0.356,0.150]",3,0.158,0.945
JRN-BAG-0379,TRAV-BAGBU,379,JRN-LF,0.682,"[0.000,0.258,0.160,0.139,0.600,0.037,0.181,0.819,0.104,0.000]",3,0.299,0.948
JRN-BAG-0380,TRAV-BAGBU,380,JRN-LF,0.697,"[0.166,0.430,0.000,0.369,1.000,0.228,0.053,0.830,0.133,0.000]",1,0.072,0.95
JRN-BAG-0381,TRAV-BAGBU,381,JRN-HA,0.678,"[0.616,1.000,0.828,0.663,0.938,0.372,0.518,0.200,0.261,0.765]",12,0.353,0.953
JRN-BAG-0382,TRAV-BAGBU,382,JRN-WH,0.808,"[0.409,0.539,0.481,0.735,0.671,0.302,0.331,0.672,0.517,0.594]",4,0.103,0.955
JRN-BAG-0383,TRAV-BAGBU,383,JRN-DO,0.766,"[0.000,0.237,0.233,0.000,0.158,0.906,0.647,0.878,0.991,0.122]",9,0.069,0.958
JRN-BAG-0384,TRAV-BAGBU,384,JRN-DO,0.625,"[0.064,0.092,0.212,0.107,0.175,0.634,0.787,0.736,0.994,0.098]",11,0.183,0.96
JRN-BAG-0385,TRAV-BAGBU,385,JRN-DO,0.677,"[0.265,0.155,0.384,0.000,0.012,0.701,0.844,0.877,0.732,0.278]",10,0.109,0.963
JRN-BAG-0386,TRAV-BAGBU,386,JRN-HA,0.563,"[1.000,0.783,0.858,0.738,0.631,0.838,0.712,0.364,0.102,0.654]",14,0.409,0.965
JRN-BAG-0387,TRAV-BAGBU,387,JRN-UN,0.281,"[0.369,0.561,0.277,0.298,0.325,0.575,0.130,0.531,0.465,0.447]",19,0.405,0.968
JRN-BAG-0388,TRAV-BAGBU,388,JRN-WH,0.902,"[0.541,0.600,0.485,0.661,0.665,0.576,0.530,0.599,0.367,0.565]",6,0.181,0.97
JRN-BAG-0389,TRAV-BAGBU,389,JRN-DO,0.821,"[0.032,0.010,0.220,0.253,0.000,0.659,0.836,1.000,0.775,0.206]",10,0.193,0.973
JRN-BAG-0390,TRAV-BAGBU,390,JRN-WH,0.879,"[0.388,0.775,0.335,0.461,0.522,0.744,0.487,0.342,0.496,0.285]",4,0.212,0.975
JRN-BAG-0391,TRAV-BAGBU,391,JRN-WH,0.821,"[0.446,0.356,0.528,0.638,0.538,1.000,0.722,0.522,0.588,0.641]",8,0.1,0.978
JRN-BAG-0392,TRAV-BAGBU,392,JRN-WH,0.911,"[0.467,0.621,0.779,0.336,0.333,0.711,0.502,0.328,0.652,0.377]",6,0.084,0.98
JRN-BAG-0393,TRAV-BAGBU,393,JRN-DO,0.772,"[0.214,0.040,0.379,0.000,0.440,0.822,0.657,0.621,0.910,0.292]",11,0.292,0.983
JRN-BAG-0394,TRAV-BAGBU,394,JRN-DO,0.797,"[0.236,0.187,0.304,0.000,0.047,0.680,0.550,1.000,0.631,0.205]",10,0.031,0.985
JRN-BAG-0395,TRAV-BAGBU,395,JRN-WH,0.825,"[0.491,0.553,0.402,0.643,0.424,0.487,0.444,0.281,0.378,0.474]",8,0,0.988
JRN-BAG-0396,TRAV-BAGBU,396,JRN-DO,0.874,"[0.365,0.218,0.488,0.227,0.178,0.864,1.000,0.980,0.842,0.265]",9,0.237,0.99
JRN-BAG-0397,TRAV-BAGBU,397,JRN-UN,0.382,"[0.294,0.882,0.223,0.579,0.307,0.633,0.223,0.402,0.681,0.617]",16,0.562,0.993
JRN-BAG-0398,TRAV-BAGBU,398,JRN-WH,0.878,"[0.344,0.279,0.519,0.314,0.464,0.313,0.551,0.603,0.423,0.526]",6,0.03,0.995
JRN-BAG-0399,TRAV-BAGBU,399,JRN-UN,0.469,"[0.473,0.599,0.500,0.543,0.499,0.657,0.338,0.585,0.315,0.186]",16,0.526,0.998
JRN-BAG-0400,TRAV-BAGBU,400,JRN-UN,0.401,"[0.463,0.494,0.396,0.563,0.385,0.444,0.426,0.370,0.534,0.566]",15,0.572,1.0
JRN-00001-001,TRAV-00001,1,JRN-WH,0.805,"[0.579,0.462,0.685,0.465,0.284,0.490,0.410,0.806,0.747,0.452]",8,0.011,0.05
JRN-00002-001,TRAV-00002,1,JRN-UN,0.319,"[0.167,0.463,0.000,0.722,0.546,0.446,0.442,0.588,0.263,0.542]",20,0.518,0.05
JRN-00001-002,TRAV-00001,2,JRN-HA,0.78,"[0.985,0.726,0.689,0.775,0.953,0.694,0.545,0.523,0.016,0.480]",14,0.314,0.1
JRN-00003-001,TRAV-00003,1,JRN-WH,0.843,"[0.565,0.428,0.607,0.319,0.565,0.567,0.806,0.492,0.345,0.416]",7,0.121,0.05
JRN-00004-001,TRAV-00004,1,JRN-WH,0.922,"[0.579,0.600,0.683,0.487,0.322,0.800,0.377,0.421,0.714,0.509]",6,0,0.05
JRN-00005-001,TRAV-00005,1,JRN-HA,0.591,"[0.898,0.761,0.792,0.421,0.816,0.536,0.688,0.154,0.309,0.742]",12,0.525,0.05
JRN-00004-002,TRAV-00004,2,JRN-LF,0.83,"[0.000,0.287,0.057,0.096,0.988,0.282,0.156,0.798,0.194,0.000]",3,0.079,0.1
JRN-00006-001,TRAV-00006,1,JRN-UN,0.486,"[0.445,0.304,0.285,0.650,0.326,0.623,0.347,0.558,0.344,0.562]",18,0.568,0.05
JRN-00007-001,TRAV-00007,1,JRN-UN,0.217,"[0.054,0.435,0.045,0.578,0.427,0.561,0.303,0.312,0.595,0.298]",20,0.525,0.05
JRN-00008-001,TRAV-00008,1,JRN-WH,0.871,"[0.386,0.511,0.478,0.356,0.483,0.364,0.513,0.559,0.463,0.560]",5,0.158,0.05
JRN-00009-001,TRAV-00009,1,JRN-DO,0.793,"[0.334,0.000,0.120,0.000,0.000,0.866,0.859,0.953,0.938,0.215]",11,0.08,0.05
JRN-00010-001,TRAV-00010,1,JRN-DO,0.814,"[0.410,0.160,0.313,0.097,0.025,0.859,0.967,0.851,0.681,0.306]",10,0.473,0.05
JRN-00011-001,TRAV-00011,1,JRN-HA,0.573,"[0.802,0.656,1.000,0.867,0.748,0.596,0.584,0.478,0.504,0.790]",12,0.395,0.05
JRN-00004-003,TRAV-00004,3,JRN-WH,0.84,"[0.170,0.652,0.697,0.466,0.695,0.323,0.736,0.540,0.297,0.444]",8,0.099,0.15
JRN-00012-001,TRAV-00012,1,JRN-DO,0.8,"[0.319,0.321,0.441,0.107,0.400,0.545,0.901,0.763,0.769,0.109]",11,0.261,0.05
JRN-00013-001,TRAV-00013,1,JRN-WH,0.816,"[0.475,0.288,0.639,0.434,0.654,0.326,0.478,0.420,0.595,0.489]",7,0.059,0.05
JRN-00005-002,TRAV-00005,2,JRN-WH,0.905,"[0.523,0.652,0.658,0.485,0.698,0.251,0.615,0.164,0.484,0.518]",7,0.053,0.1
JRN-00014-001,TRAV-00014,1,JRN-DO,0.633,"[0.067,0.000,0.317,0.374,0.304,0.754,0.792,1.000,0.779,0.000]",9,0.028,0.05
JRN-00007-002,TRAV-00007,2,JRN-HA,0.634,"[0.811,0.431,1.000,0.651,0.616,0.282,0.679,0.386,0.399,0.832]",12,0.349,0.1
JRN-00015-001,TRAV-00015,1,JRN-LF,0.677,"[0.276,0.285,0.000,0.293,0.916,0.094,0.018,0.732,0.398,0.114]",3,0.003,0.05
JRN-00016-001,TRAV-00016,1,JRN-HA,0.611,"[0.683,0.707,0.735,0.947,0.445,0.493,0.656,0.431,0.427,0.625]",13,0.415,0.05
JRN-00006-002,TRAV-00006,2,JRN-WH,0.926,"[0.371,0.567,0.440,0.382,0.555,0.305,0.664,0.342,0.427,0.324]",7,0.059,0.1
JRN-00017-001,TRAV-00017,1,JRN-UN,0.377,"[0.383,0.700,0.138,0.757,0.413,0.378,0.486,0.575,0.499,0.603]",20,0.353,0.05
JRN-00018-001,TRAV-00018,1,JRN-WH,0.853,"[0.371,0.456,0.527,0.504,0.610,0.476,0.558,0.385,0.220,0.569]",8,0.14,0.05
JRN-00019-001,TRAV-00019,1,JRN-WH,0.927,"[0.596,0.431,0.433,0.312,0.646,0.487,0.349,0.624,0.525,0.436]",5,0.039,0.05
JRN-00020-001,TRAV-00020,1,JRN-LF,0.816,"[0.252,0.299,0.081,0.000,0.595,0.460,0.233,0.826,0.315,0.043]",1,0.275,0.05
JRN-00021-001,TRAV-00021,1,JRN-UN,0.451,"[0.300,0.435,0.131,0.525,0.276,0.561,0.548,0.629,0.273,0.496]",20,0.435,0.05
JRN-00022-001,TRAV-00022,1,JRN-DO,0.727,"[0.175,0.112,0.226,0.014,0.000,0.608,0.752,1.000,0.742,0.000]",11,0.248,0.05
JRN-00023-001,TRAV-00023,1,JRN-UN,0.517,"[0.259,0.480,0.351,0.669,0.350,0.384,0.179,0.552,0.426,0.452]",16,0.545,0.05
JRN-00006-003,TRAV-00006,3,JRN-WH,0.882,"[0.403,0.506,0.585,0.764,0.546,0.436,0.661,0.657,0.491,0.584]",6,0.062,0.15
JRN-00009-002,TRAV-00009,2,JRN-HA,0.633,"[0.932,0.962,1.000,0.661,1.000,0.637,0.676,0.502,0.516,0.461]",13,0.469,0.1
JRN-00024-001,TRAV-00024,1,JRN-WH,0.923,"[0.365,0.517,0.694,0.424,0.500,0.399,0.330,0.529,0.319,0.435]",8,0.101,0.05
JRN-00011-002,TRAV-00011,2,JRN-WH,0.879,"[0.585,0.267,0.597,0.459,0.582,0.565,0.476,0.652,0.533,0.461]",8,0,0.1
JRN-00025-001,TRAV-00025,1,JRN-WH,0.896,"[0.759,0.756,0.258,0.345,0.680,0.513,0.472,0.700,0.458,0.620]",4,0,0.05
JRN-00026-001,TRAV-00026,1,JRN-HA,0.622,"[0.640,0.842,0.801,0.391,0.727,0.430,0.514,0.562,0.681,0.719]",13,0.276,0.05
JRN-00027-001,TRAV-00027,1,JRN-LF,0.882,"[0.434,0.383,0.000,0.386,0.724,0.167,0.122,0.987,0.000,0.258]",2,0.109,0.05
JRN-00028-001,TRAV-00028,1,JRN-LF,0.764,"[0.205,0.000,0.000,0.194,0.680,0.035,0.087,0.636,0.248,0.108]",3,0.194,0.05
JRN-00029-001,TRAV-00029,1,JRN-LF,0.704,"[0.249,0.176,0.157,0.299,1.000,0.478,0.046,0.824,0.000,0.000]",2,0,0.05
JRN-00030-001,TRAV-00030,1,JRN-UN,0.247,"[0.292,0.241,0.331,0.505,0.318,0.549,0.557,0.247,0.480,0.429]",15,0.628,0.05
JRN-00031-001,TRAV-00031,1,JRN-UN,0.541,"[0.299,0.478,0.592,0.798,0.464,0.431,0.250,0.588,0.376,0.477]",19,0.493,0.05
JRN-00032-001,TRAV-00032,1,JRN-UN,0.359,"[0.574,0.661,0.409,0.878,0.425,0.379,0.221,0.503,0.526,0.341]",17,0.491,0.05
JRN-00010-002,TRAV-00010,2,JRN-LF,0.914,"[0.004,0.000,0.000,0.044,1.000,0.179,0.106,0.889,0.298,0.020]",3,0.007,0.1
JRN-00033-001,TRAV-00033,1,JRN-WH,0.882,"[0.543,0.529,0.445,0.595,0.926,0.223,0.864,0.354,0.297,0.356]",4,0.218,0.05
JRN-00034-001,TRAV-00034,1,JRN-UN,0.435,"[0.406,0.688,0.262,0.498,0.344,0.154,0.292,0.557,0.345,0.424]",16,0.612,0.05
JRN-00021-002,TRAV-00021,2,JRN-LF,0.685,"[0.095,0.000,0.037,0.500,0.707,0.035,0.089,0.929,0.302,0.018]",2,0.155,0.1
JRN-00035-001,TRAV-00035,1,JRN-DO,0.824,"[0.114,0.119,0.247,0.169,0.254,0.787,0.944,1.000,1.000,0.038]",11,0.203,0.05
JRN-00036-001,TRAV-00036,1,JRN-WH,0.799,"[0.547,0.547,0.564,0.430,0.588,0.656,0.455,0.813,0.330,0.398]",4,0,0.05
JRN-00037-001,TRAV-00037,1,JRN-LF,0.857,"[0.068,0.226,0.078,0.105,0.694,0.042,0.224,1.000,0.114,0.135]",3,0.184,0.05
JRN-00038-001,TRAV-00038,1,JRN-WH,0.942,"[0.479,0.539,0.382,0.385,1.000,0.298,0.723,0.352,0.706,0.717]",6,0.085,0.05
JRN-00025-002,TRAV-00025,2,JRN-LF,0.719,"[0.145,0.493,0.035,0.449,1.000,0.336,0.323,0.745,0.445,0.057]",2,0.108,0.1
JRN-00039-001,TRAV-00039,1,JRN-HA,0.827,"[0.757,0.752,0.833,0.774,0.660,0.650,0.476,0.602,0.433,0.784]",13,0.269,0.05
JRN-00040-001,TRAV-00040,1,JRN-LF,0.742,"[0.000,0.103,0.000,0.122,0.562,0.000,0.063,0.946,0.285,0.337]",2,0.236,0.05
JRN-00009-003,TRAV-00009,3,JRN-DO,0.684,"[0.076,0.082,0.257,0.118,0.169,0.720,0.740,0.930,0.697,0.035]",10,0.118,0.15
JRN-00041-001,TRAV-00041,1,JRN-LF,0.85,"[0.257,0.241,0.186,0.151,0.939,0.290,0.012,0.659,0.114,0.000]",2,0.027,0.05
JRN-00042-001,TRAV-00042,1,JRN-UN,0.484,"[0.499,0.728,0.059,0.415,0.546,0.615,0.375,0.503,0.481,0.651]",20,0.379,0.05
JRN-00043-001,TRAV-00043,1,JRN-HA,0.641,"[0.923,0.560,0.541,0.577,0.558,0.669,0.542,0.500,0.557,0.668]",12,0.289,0.05
JRN-00042-002,TRAV-00042,2,JRN-LF,0.715,"[0.146,0.318,0.000,0.239,0.990,0.212,0.234,0.991,0.365,0.062]",2,0.092,0.1
JRN-00044-001,TRAV-00044,1,JRN-UN,0.218,"[0.349,0.733,0.475,0.459,0.465,0.303,0.305,0.434,0.000,0.647]",19,0.523,0.05
JRN-00045-001,TRAV-00045,1,JRN-DO,0.79,"[0.206,0.153,0.395,0.123,0.000,0.661,0.612,0.647,0.955,0.340]",11,0.112,0.05
JRN-00019-002,TRAV-00019,2,JRN-HA,0.691,"[0.990,0.712,1.000,0.815,0.726,0.369,0.327,0.356,0.234,0.636]",13,0.502,0.1
JRN-00046-001,TRAV-00046,1,JRN-DO,0.806,"[0.289,0.000,0.112,0.015,0.099,0.478,0.869,0.973,0.746,0.157]",10,0.309,0.05
JRN-00036-002,TRAV-00036,2,JRN-LF,0.655,"[0.039,0.145,0.169,0.350,0.619,0.253,0.111,0.611,0.288,0.178]",2,0.199,0.1
JRN-00047-001,TRAV-00047,1,JRN-HA,0.781,"[1.000,0.522,1.000,0.554,0.838,0.629,0.754,0.311,0.545,0.641]",12,0.377,0.05
JRN-00048-001,TRAV-00048,1,JRN-LF,0.802,"[0.000,0.367,0.230,0.427,0.661,0.269,0.204,0.634,0.264,0.092]",3,0.105,0.05
JRN-00049-001,TRAV-00049,1,JRN-UN,0.243,"[0.256,0.558,0.313,0.488,0.450,0.372,0.237,0.498,0.225,0.681]",17,0.448,0.05
JRN-00050-001,TRAV-00050,1,JRN-DO,0.82,"[0.118,0.150,0.053,0.000,0.190,0.860,0.586,0.876,0.828,0.213]",11,0.211,0.05
JRN-00051-001,TRAV-00051,1,JRN-LF,0.735,"[0.000,0.260,0.430,0.278,1.000,0.359,0.516,0.741,0.293,0.000]",2,0,0.05
JRN-00052-001,TRAV-00052,1,JRN-UN,0.453,"[0.552,0.516,0.290,0.566,0.581,0.704,0.188,0.404,0.434,0.246]",20,0.451,0.05
JRN-00053-001,TRAV-00053,1,JRN-LF,0.869,"[0.149,0.000,0.261,0.294,0.716,0.352,0.232,0.675,0.099,0.074]",3,0.035,0.05
JRN-00054-001,TRAV-00054,1,JRN-LF,0.658,"[0.042,0.107,0.039,0.237,0.661,0.272,0.094,0.935,0.253,0.002]",1,0.083,0.05
JRN-00055-001,TRAV-00055,1,JRN-UN,0.357,"[0.000,0.624,0.454,0.177,0.109,0.373,0.171,0.367,0.285,0.421]",17,0.408,0.05
JRN-00056-001,TRAV-00056,1,JRN-LF,0.752,"[0.000,0.343,0.211,0.292,1.000,0.119,0.124,0.662,0.270,0.232]",1,0.208,0.05
JRN-00057-001,TRAV-00057,1,JRN-WH,0.843,"[0.343,0.610,0.555,0.201,0.316,0.392,0.729,0.495,0.730,0.422]",7,0.125,0.05
JRN-00046-002,TRAV-00046,2,JRN-WH,0.945,"[0.425,0.549,0.443,0.540,0.665,0.492,0.140,0.248,0.770,0.377]",4,0.039,0.1
JRN-00058-001,TRAV-00058,1,JRN-LF,0.791,"[0.000,0.533,0.043,0.363,0.921,0.120,0.060,0.775,0.448,0.000]",1,0.217,0.05
JRN-00036-003,TRAV-00036,3,JRN-WH,0.928,"[0.725,0.372,0.515,0.370,0.540,0.296,0.698,0.540,0.431,0.638]",7,0.209,0.15
JRN-00059-001,TRAV-00059,1,JRN-LF,0.847,"[0.168,0.000,0.008,0.259,0.752,0.314,0.404,0.718,0.181,0.000]",1,0.115,0.05
JRN-00060-001,TRAV-00060,1,JRN-HA,0.718,"[0.612,0.661,0.850,0.880,0.748,0.618,0.124,0.152,0.266,0.671]",14,0.35,0.05
JRN-00061-001,TRAV-00061,1,JRN-LF,0.655,"[0.107,0.434,0.224,0.095,0.972,0.008,0.063,0.826,0.221,0.075]",2,0.159,0.05
