measurement_id,entity_type,entity_id,entity_name,target_form_id,target_basin_id,origin_type,navigation_velocity,peak_velocity,initial_velocity,final_velocity,total_duration,acceleration_phase_days,cruise_phase_days,deceleration_phase_days,efficiency_score,comparison_to_average,comparison_to_geodesic,navigation_experience,attractor_strength,path_difficulty,environmental_conditions,measurement_year,measurer,measurement_method,confidence,notes
NS-0200,behavior_pattern,,Quintic manifestation,MS-0029,BA-043,prior_form,0.0853,0.1632,0.0336,0.0231,105,11,82,12,0.528,0.56,1.894,experienced,0.865,0.816,challenging,930,T. Vells,form_transition_timing,0.53,Behavior_Pattern navigation to Form 0029. Experience: experienced.
NS-0201,structure,,Structure emergence,MS-0011,BA-002,prior_form,0.0485,0.0659,0.0193,0.0059,180,28,129,23,0.536,0.467,1.865,experienced,2.0,1.0,challenging,922,R. Voss,form_transition_timing,0.803,Structure navigation to Form 0011. Experience: experienced.
NS-0202,behavior_pattern,EN-305,Tension cycle,MS-0031,BA-037,disrupted_state,0.0463,0.0871,0.032,0.0154,276,40,210,26,0.485,0.473,2.063,first_time,1.501,0.746,normal,927,T. Vells,retrospective_calculation,0.962,Behavior_Pattern navigation to Form 0031. Experience: first_time.
NS-0203,creature,EN-118,Cave bat,MS-0098,BA-045,disrupted_state,0.0453,0.0584,0.0233,0.013,365,39,293,33,0.569,0.842,1.759,experienced,0.737,0.868,hostile,920,Archive Survey Team,waypoint_timing,0.697,Creature navigation to Form 0098. Experience: experienced.
NS-0204,behavior_pattern,,Quintic manifestation,MS-0031,BA-037,disrupted_state,0.0354,0.0437,0.011,0.0087,365,87,241,37,0.655,0.882,1.526,experienced,1.501,0.535,hostile,924,R. Voss,continuous_tracking,0.879,Behavior_Pattern navigation to Form 0031. Experience: experienced.
NS-0205,creature,,Cave bat,MS-0065,BA-028,prior_form,0.0675,0.1181,0.0387,0.0234,273,32,201,40,0.428,0.395,2.338,first_time,1.661,0.321,normal,931,Archive Survey Team,form_transition_timing,0.599,Creature navigation to Form 0065. Experience: first_time.
NS-0206,creature,EN-391,Digger colony,MS-0054,BA-050,genesis,0.0448,0.0718,0.0343,0.015,351,64,258,29,1.0,1.038,1.0,inherited_knowledge,0.613,0.974,hostile,920,K. Strand,continuous_tracking,0.952,Creature navigation to Form 0054. Experience: inherited_knowledge.
NS-0207,creature,EN-066,Stakdur specimen,MS-0053,BA-025,genesis,0.0198,0.0313,0.0148,0.0049,363,86,231,46,0.871,1.175,1.149,first_time,1.912,0.626,normal,926,R. Voss,waypoint_timing,0.698,Creature navigation to Form 0053. Experience: first_time.
NS-0208,behavior_pattern,,Breathing rhythm,MS-0066,BA-047,prior_form,0.1195,0.1918,0.0467,0.0153,97,15,68,14,0.615,0.556,1.627,experienced,1.28,0.154,normal,918,T. Vells,continuous_tracking,0.571,Behavior_Pattern navigation to Form 0066. Experience: experienced.
NS-0209,structure,EN-396,Structure emergence,MS-0082,BA-035,induced_start,0.0553,0.1012,0.0406,0.0143,276,29,215,32,0.728,0.978,1.373,first_time,0.882,0.74,normal,921,K. Strand,continuous_tracking,0.961,Structure navigation to Form 0082. Experience: first_time.
NS-0210,collective,,Flock navigation,MS-0099,BA-021,prior_form,0.0654,0.0972,0.0278,0.0125,274,62,188,24,0.667,0.742,1.5,first_time,1.023,0.758,normal,928,C. Vells,retrospective_calculation,0.617,Collective navigation to Form 0099. Experience: first_time.
NS-0211,phenomenon,,Weather pattern,MS-0004,BA-003,prior_form,0.1771,0.2339,0.063,0.0286,31,5,25,1,0.691,0.86,1.448,experienced,1.5,0.234,optimal,925,C. Vells,continuous_tracking,0.783,Phenomenon navigation to The Tension. Experience: experienced.
NS-0212,creature,EN-217,Stakdur specimen,MS-0004,BA-003,prior_form,0.043,0.081,0.0129,0.0191,354,49,263,42,0.707,0.824,1.414,first_time,1.5,0.555,normal,930,T. Vells,waypoint_timing,0.82,Creature navigation to The Tension. Experience: first_time.
NS-0213,behavior_pattern,EN-099,Quintic manifestation,MS-0015,BA-004,genesis,0.0528,0.0979,0.0168,0.0124,131,22,103,6,0.992,1.212,1.008,experienced,1.906,0.351,challenging,930,C. Vells,retrospective_calculation,0.958,Behavior_Pattern navigation to Form 0015. Experience: experienced.
NS-0214,collective,EN-183,Swarm movement,MS-0053,BA-025,prior_form,0.088,0.1407,0.0638,0.0355,133,20,102,11,0.746,0.957,1.34,experienced,1.912,0.564,optimal,928,R. Voss,waypoint_timing,0.898,Collective navigation to Form 0053. Experience: experienced.
NS-0215,creature,,Stakdur specimen,MS-0090,BA-031,prior_form,0.1843,0.2903,0.0821,0.0502,57,9,42,6,0.984,0.885,1.016,expert,1.231,0.284,normal,926,C. Vells,waypoint_timing,0.511,Creature navigation to Form 0090. Experience: expert.
NS-0216,creature,EN-244,Digger colony,MS-0073,BA-025,genesis,0.1033,0.1764,0.0798,0.0465,164,23,119,22,1.0,0.978,1.0,expert,1.912,0.414,challenging,921,R. Voss,waypoint_timing,0.618,Creature navigation to Form 0073. Experience: expert.
NS-0217,collective,EN-403,Colony shift,MS-0054,BA-050,genesis,0.0382,0.069,0.0213,0.0048,219,43,155,21,0.423,0.498,2.366,experienced,0.613,0.33,hostile,928,C. Vells,form_transition_timing,0.552,Collective navigation to Form 0054. Experience: experienced.
NS-0218,behavior_pattern,,Tension cycle,MS-0087,BA-034,induced_start,0.1462,0.2307,0.0831,0.0448,52,8,38,6,0.544,0.596,1.84,experienced,1.333,0.585,normal,925,K. Strand,retrospective_calculation,0.884,Behavior_Pattern navigation to Form 0087. Experience: experienced.
NS-0219,phenomenon,EN-475,Weather pattern,MS-0010,BA-040,disrupted_state,0.0553,0.0913,0.0284,0.0156,127,27,83,17,0.612,0.515,1.635,inherited_knowledge,1.735,0.741,normal,925,Archive Survey Team,continuous_tracking,0.835,Phenomenon navigation to Form 0010. Experience: inherited_knowledge.
NS-0220,collective,EN-002,Flock navigation,MS-0075,BA-029,prior_form,0.196,0.314,0.146,0.0734,48,9,34,5,0.982,1.145,1.019,expert,1.921,0.152,optimal,929,T. Vells,retrospective_calculation,0.543,Collective navigation to Form 0075. Experience: expert.
NS-0221,creature,EN-251,Digger colony,MS-0008,BA-035,genesis,0.0188,0.0258,0.009,0.0036,365,77,268,20,0.998,0.965,1.002,first_time,0.882,0.834,normal,931,Archive Survey Team,continuous_tracking,0.604,Creature navigation to Form 0008. Experience: first_time.
NS-0222,behavior_pattern,EN-498,Breathing rhythm,MS-0018,BA-023,genesis,0.0289,0.0521,0.0148,0.0107,365,53,263,49,0.869,0.979,1.151,inherited_knowledge,1.218,0.492,challenging,919,R. Voss,retrospective_calculation,0.992,Behavior_Pattern navigation to Form 0018. Experience: inherited_knowledge.
NS-0223,structure,EN-438,Formation growth,MS-0099,BA-021,prior_form,0.0314,0.0452,0.021,0.0146,365,40,279,46,0.873,0.717,1.145,inherited_knowledge,1.023,0.831,normal,920,Archive Survey Team,waypoint_timing,0.511,Structure navigation to Form 0099. Experience: inherited_knowledge.
NS-0224,creature,EN-156,Digger colony,MS-0062,BA-040,induced_start,0.0446,0.0653,0.0223,0.0188,365,64,274,27,0.516,0.686,1.938,first_time,1.735,0.173,normal,918,T. Vells,waypoint_timing,0.884,Creature navigation to Form 0062. Experience: first_time.
NS-0225,structure,,Structure emergence,MS-0072,BA-041,prior_form,0.053,0.0913,0.0249,0.0163,187,32,133,22,0.92,1.355,1.087,inherited_knowledge,1.922,0.421,challenging,927,C. Vells,continuous_tracking,0.821,Structure navigation to Form 0072. Experience: inherited_knowledge.
NS-0226,structure,,Formation growth,MS-0089,BA-009,prior_form,0.0349,0.0474,0.0217,0.017,230,53,163,14,1.0,1.213,1.0,inherited_knowledge,0.471,0.402,normal,922,R. Voss,waypoint_timing,0.57,Structure navigation to Form 0089. Experience: inherited_knowledge.
NS-0227,creature,EN-320,Cave bat,MS-0003,BA-015,disrupted_state,0.0313,0.0405,0.0152,0.0096,365,75,239,51,1.0,1.388,1.0,inherited_knowledge,0.6,0.675,challenging,931,T. Vells,form_transition_timing,0.554,Creature navigation to The Breathing Mode. Experience: inherited_knowledge.
NS-0228,structure,EN-036,Formation growth,MS-0090,BA-031,disrupted_state,0.0296,0.0457,0.012,0.0075,365,42,294,29,0.914,1.066,1.094,experienced,1.231,0.489,challenging,927,C. Vells,continuous_tracking,0.624,Structure navigation to Form 0090. Experience: experienced.
NS-0229,structure,,Crystallization,MS-0085,BA-041,genesis,0.0632,0.0932,0.0262,0.024,79,14,56,9,0.582,0.481,1.719,first_time,1.922,0.551,normal,926,K. Strand,continuous_tracking,0.909,Structure navigation to Form 0085. Experience: first_time.
NS-0230,behavior_pattern,,Tension cycle,MS-0049,BA-006,induced_start,0.0496,0.0617,0.0247,0.0089,211,41,150,20,1.0,1.388,1.0,inherited_knowledge,0.696,0.898,hostile,927,C. Vells,waypoint_timing,0.719,Behavior_Pattern navigation to Form 0049. Experience: inherited_knowledge.
NS-0231,phenomenon,EN-153,Boundary event,MS-0017,BA-001,prior_form,0.0387,0.0708,0.0272,0.0122,275,63,187,25,0.788,1.033,1.268,expert,1.8,0.659,challenging,931,C. Vells,waypoint_timing,0.921,Phenomenon navigation to Form 0017. Experience: expert.
NS-0232,structure,EN-345,Crystallization,MS-0087,BA-034,prior_form,0.0312,0.0438,0.0136,0.0105,306,31,231,44,0.939,1.144,1.065,inherited_knowledge,1.333,0.895,normal,931,T. Vells,retrospective_calculation,0.73,Structure navigation to Form 0087. Experience: inherited_knowledge.
NS-0233,creature,EN-299,Scavenger group,MS-0046,BA-047,genesis,0.0355,0.066,0.0251,0.0049,365,70,268,27,0.458,0.667,2.184,first_time,1.28,0.424,challenging,928,Archive Survey Team,continuous_tracking,0.745,Creature navigation to Form 0046. Experience: first_time.
NS-0234,structure,EN-481,Crystallization,MS-0086,BA-013,prior_form,0.0393,0.0614,0.0162,0.0119,365,70,270,25,0.401,0.432,2.492,first_time,0.609,0.349,normal,922,K. Strand,form_transition_timing,0.679,Structure navigation to Form 0086. Experience: first_time.
NS-0235,creature,,Stakdur specimen,MS-0051,BA-006,prior_form,0.0424,0.0684,0.032,0.0058,350,41,264,45,0.972,1.004,1.029,experienced,0.696,0.757,normal,920,Archive Survey Team,waypoint_timing,0.948,Creature navigation to Form 0051. Experience: experienced.
NS-0236,behavior_pattern,EN-024,Quintic manifestation,MS-0036,BA-042,prior_form,0.0274,0.0436,0.0093,0.0036,284,63,183,38,0.83,0.8,1.205,first_time,0.868,0.775,normal,932,K. Strand,retrospective_calculation,0.643,Behavior_Pattern navigation to Form 0036. Experience: first_time.
NS-0237,structure,EN-335,Formation growth,MS-0095,BA-008,genesis,0.0132,0.0222,0.0069,0.0018,365,48,273,44,0.734,1.034,1.362,inherited_knowledge,1.205,0.534,hostile,926,K. Strand,form_transition_timing,0.642,Structure navigation to Form 0095. Experience: inherited_knowledge.
NS-0238,creature,EN-035,Reed-spinner,MS-0080,BA-048,genesis,0.0477,0.0942,0.0356,0.0161,272,40,197,35,0.893,1.33,1.12,first_time,1.402,0.391,challenging,929,K. Strand,retrospective_calculation,0.836,Creature navigation to Form 0080. Experience: first_time.
NS-0239,phenomenon,EN-036,Oscillation cycle,MS-0072,BA-041,genesis,0.0577,0.1113,0.0445,0.0058,219,44,160,15,0.679,0.813,1.473,experienced,1.922,0.875,normal,920,K. Strand,waypoint_timing,0.851,Phenomenon navigation to Form 0072. Experience: experienced.
NS-0240,behavior_pattern,,Quintic manifestation,MS-0070,BA-040,prior_form,0.0161,0.0237,0.0058,0.0059,365,88,234,43,0.915,1.055,1.092,first_time,1.735,0.328,hostile,924,Archive Survey Team,continuous_tracking,0.927,Behavior_Pattern navigation to Form 0070. Experience: first_time.
NS-0241,phenomenon,EN-134,Dissolution event,MS-0011,BA-002,prior_form,0.1817,0.3027,0.0637,0.0875,59,7,47,5,0.551,0.614,1.816,experienced,2.0,0.512,optimal,923,C. Vells,form_transition_timing,0.72,Phenomenon navigation to Form 0011. Experience: experienced.
NS-0242,phenomenon,,Dissolution event,MS-0084,BA-035,prior_form,0.023,0.0343,0.0123,0.0032,365,72,239,54,0.944,1.324,1.059,first_time,0.882,0.292,normal,920,C. Vells,continuous_tracking,0.71,Phenomenon navigation to Form 0084. Experience: first_time.
NS-0243,structure,EN-001,Crystallization,MS-0043,BA-037,genesis,0.0914,0.1322,0.067,0.0345,167,18,135,14,0.885,1.23,1.13,expert,1.501,0.34,challenging,924,K. Strand,waypoint_timing,0.625,Structure navigation to Form 0043. Experience: expert.
NS-0244,behavior_pattern,EN-457,Breathing rhythm,MS-0055,BA-010,genesis,0.052,0.0657,0.0349,0.0205,315,70,229,16,1.0,1.214,1.0,inherited_knowledge,0.752,0.88,optimal,918,C. Vells,form_transition_timing,0.957,Behavior_Pattern navigation to Form 0055. Experience: inherited_knowledge.
NS-0245,creature,EN-420,Reed-spinner,MS-0017,BA-001,disrupted_state,0.1271,0.2255,0.0663,0.0401,70,7,59,4,0.757,0.748,1.321,experienced,1.8,0.241,normal,929,R. Voss,retrospective_calculation,0.89,Creature navigation to Form 0017. Experience: experienced.
NS-0246,structure,,Structure emergence,MS-0092,BA-009,disrupted_state,0.0336,0.0508,0.0219,0.014,222,40,152,30,0.507,0.451,1.972,first_time,0.471,0.642,challenging,921,K. Strand,retrospective_calculation,0.987,Structure navigation to Form 0092. Experience: first_time.
NS-0247,phenomenon,EN-495,Dissolution event,MS-0090,BA-031,disrupted_state,0.0612,0.1219,0.0293,0.0223,216,26,164,26,0.409,0.41,2.444,first_time,1.231,0.842,optimal,928,C. Vells,retrospective_calculation,0.795,Phenomenon navigation to Form 0090. Experience: first_time.
NS-0248,creature,EN-401,Scavenger group,MS-0072,BA-041,disrupted_state,0.0594,0.107,0.0374,0.0279,177,31,121,25,0.854,1.165,1.171,experienced,1.922,0.702,hostile,929,Archive Survey Team,waypoint_timing,0.568,Creature navigation to Form 0072. Experience: experienced.
NS-0249,phenomenon,EN-395,Boundary event,MS-0019,BA-029,disrupted_state,0.0506,0.1009,0.0303,0.014,179,23,144,12,0.888,0.815,1.126,inherited_knowledge,1.921,0.508,normal,930,T. Vells,continuous_tracking,0.582,Phenomenon navigation to Form 0019. Experience: inherited_knowledge.
NS-0250,creature,,Cave bat,MS-0072,BA-041,genesis,0.0323,0.0633,0.0253,0.0135,302,66,220,16,0.637,0.802,1.569,first_time,1.922,0.117,optimal,924,K. Strand,continuous_tracking,0.894,Creature navigation to Form 0072. Experience: first_time.
