assessment_id,agent_id,domain,domain_specificity,competency_score,reliability,learning_potential,degradation_risk,upper_complexity_bound,resource_requirements,time_to_completion,context_dependency,stress_degradation,dens_proximity_effect,delegation_reliability,supervision_required,autonomy_appropriate,assessment_year,assessment_method,assessor,sample_size,confidence,notes
CA-0267,AG-0121,threat_response,moderate,0.86,0.58,0.2,0.3,novel_categorization,minimal,weeks,mildly_context_dependent,0.2,no_effect,highly_reliable,moderate,True,938,behavioral_observation,Colony Observation Unit,81,0.8,
CA-0268,AG-0187,coordination,specialized,0.86,0.8,0.74,0.14,novel_categorization,moderate,minutes,mildly_context_dependent,0.34,no_effect,variable,close,False,927,direct_testing,P. Anster,94,0.76,
CA-0269,AG-0453,maintenance,moderate,0.53,0.54,0.43,0.34,pattern_matching,minimal,days,moderately_context_dependent,0.24,no_effect,reliable,moderate,False,924,peer_assessment,M. Strand,121,0.65,
CA-0270,AG-0215,preservation,general,0.31,0.81,0.41,0.06,multi-step_planning,moderate,immediate,highly_context_dependent,0.5,unpredictable,not_recommended,none,False,921,behavioral_observation,T. Crost,174,0.88,
CA-0271,AG-0419,resource_acquisition,general,0.35,0.88,0.79,0.33,novel_categorization,moderate,immediate,moderately_context_dependent,0.32,minor_degradation,unreliable,moderate,True,919,historical_record,Colony Observation Unit,69,0.68,
CA-0272,AG-0063,communication,moderate,0.54,0.77,0.24,0.37,novel_categorization,moderate,minutes,moderately_context_dependent,0.21,no_effect,reliable,none,True,931,behavioral_observation,Independent Observer,88,0.85,
CA-0273,AG-0035,spatial_navigation,highly_specific,0.7,0.47,0.56,0.21,novel_categorization,moderate,immediate,moderately_context_dependent,0.16,no_effect,reliable,close,False,927,historical_record,Colony Observation Unit,195,0.85,
CA-0274,AG-0162,preservation,specialized,0.37,0.62,0.71,0.26,pattern_matching,minimal,hours,context_independent,0.5,no_effect,reliable,moderate,False,913,direct_testing,O. Venn,86,0.93,
CA-0275,AG-0021,threat_response,general,0.39,0.86,0.25,0.28,pattern_matching,moderate,immediate,context_independent,0.31,no_effect,reliable,moderate,False,938,behavioral_observation,P. Anster,39,0.76,
CA-0276,AG-0062,memory_storage,moderate,0.57,0.51,0.72,0.33,pattern_matching,minimal,minutes,moderately_context_dependent,0.22,minor_degradation,variable,minimal,False,920,direct_testing,T. Mord,84,0.85,
CA-0277,AG-0468,preservation,specialized,0.74,0.77,0.33,0.06,novel_categorization,substantial,months,moderately_context_dependent,0.11,significant_degradation,highly_reliable,constant,True,928,historical_record,T. Crost,174,0.7,
CA-0278,AG-0401,threat_response,specialized,0.94,0.93,0.15,0.27,novel_categorization,moderate,immediate,context_independent,0.18,no_effect,reliable,minimal,True,935,historical_record,M. Strand,110,0.65,
CA-0279,AG-0448,construction,specialized,0.4,0.5,0.27,0.18,abstract_reasoning,substantial,hours,mildly_context_dependent,0.32,no_effect,unreliable,moderate,True,923,biological_measurement,P. Anster,33,0.75,
CA-0280,AG-0484,threat_response,highly_specific,0.89,0.42,0.74,0.25,simple_retrieval,minimal,hours,moderately_context_dependent,0.11,minor_degradation,highly_reliable,moderate,False,939,peer_assessment,O. Venn,163,0.9,
CA-0281,AG-0193,preservation,specialized,0.56,0.43,0.11,0.11,novel_categorization,moderate,days,highly_context_dependent,0.23,significant_degradation,highly_reliable,minimal,True,938,behavioral_observation,T. Mord,150,0.85,
CA-0282,AG-0404,decision_making,moderate,0.7,0.72,0.38,0.11,novel_categorization,minimal,minutes,moderately_context_dependent,0.32,minor_degradation,unreliable,close,False,934,historical_record,T. Mord,134,0.77,
CA-0283,AG-0181,resource_acquisition,moderate,0.89,0.59,0.51,0.23,abstract_reasoning,moderate,immediate,mildly_context_dependent,0.16,no_effect,highly_reliable,none,True,934,behavioral_observation,Archive Survey Team,138,0.75,
CA-0284,AG-0103,document_processing,highly_specific,0.48,0.6,0.15,0.08,pattern_matching,moderate,immediate,moderately_context_dependent,0.33,significant_degradation,variable,minimal,True,925,historical_record,Independent Observer,187,0.91,
CA-0285,AG-0281,maintenance,highly_specific,0.92,0.74,0.19,0.31,multi-step_planning,minimal,days,highly_context_dependent,0.45,significant_degradation,highly_reliable,minimal,False,939,peer_assessment,M. Strand,99,0.85,
CA-0286,AG-0022,pattern_recognition,specialized,0.37,0.53,0.64,0.12,simple_retrieval,minimal,weeks,highly_context_dependent,0.45,minor_degradation,reliable,moderate,False,919,historical_record,T. Crost,75,0.85,
CA-0287,AG-0226,spatial_navigation,moderate,0.79,0.71,0.3,0.21,novel_categorization,moderate,minutes,moderately_context_dependent,0.11,unpredictable,reliable,minimal,False,916,behavioral_observation,T. Crost,135,0.91,
CA-0288,AG-0249,coordination,highly_specific,0.61,0.44,0.35,0.3,novel_categorization,substantial,weeks,moderately_context_dependent,0.59,minor_degradation,highly_reliable,close,False,920,historical_record,T. Mord,198,0.78,
CA-0289,AG-0283,communication,moderate,0.47,0.57,0.55,0.23,multi-step_planning,substantial,hours,moderately_context_dependent,0.49,unpredictable,unreliable,close,False,915,behavioral_observation,Archive Survey Team,164,0.9,
CA-0290,AG-0439,resource_acquisition,specialized,0.87,0.94,0.53,0.33,simple_retrieval,minimal,hours,highly_context_dependent,0.53,no_effect,reliable,moderate,True,924,direct_testing,Independent Observer,37,0.69,
CA-0291,AG-0469,memory_storage,specialized,0.62,0.55,0.58,0.28,pattern_matching,substantial,minutes,context_independent,0.27,minor_degradation,variable,minimal,True,937,direct_testing,M. Strand,12,0.91,
CA-0292,AG-0054,threat_response,general,0.47,0.54,0.2,0.07,multi-step_planning,moderate,minutes,mildly_context_dependent,0.2,unpredictable,variable,constant,True,929,historical_record,Archive Survey Team,161,0.79,
CA-0293,AG-0140,memory_storage,moderate,0.93,0.75,0.51,0.3,novel_categorization,minimal,hours,context_independent,0.44,unpredictable,variable,minimal,False,928,behavioral_observation,T. Crost,141,0.65,
CA-0294,AG-0211,maintenance,specialized,0.43,0.4,0.57,0.36,multi-step_planning,substantial,hours,moderately_context_dependent,0.13,enhancement,reliable,close,False,939,behavioral_observation,Independent Observer,199,0.84,
CA-0295,AG-0490,communication,general,0.81,0.8,0.13,0.08,novel_categorization,extensive,hours,moderately_context_dependent,0.41,no_effect,reliable,constant,True,919,direct_testing,Colony Observation Unit,106,0.62,
CA-0296,AG-0456,threat_response,highly_specific,0.31,0.42,0.66,0.12,multi-step_planning,minimal,days,mildly_context_dependent,0.51,minor_degradation,reliable,close,False,934,direct_testing,Archive Survey Team,190,0.78,
CA-0297,AG-0260,pattern_recognition,moderate,0.81,0.91,0.33,0.23,abstract_reasoning,moderate,days,moderately_context_dependent,0.31,minor_degradation,unreliable,none,True,920,historical_record,Klutch CC Research,89,0.89,
CA-0298,AG-0265,communication,universal,0.46,0.55,0.68,0.07,novel_categorization,minimal,days,mildly_context_dependent,0.26,minor_degradation,variable,moderate,False,926,historical_record,T. Crost,88,0.8,
CA-0299,AG-0474,coordination,specialized,0.37,0.95,0.32,0.11,multi-step_planning,substantial,weeks,moderately_context_dependent,0.38,enhancement,variable,moderate,False,919,historical_record,P. Anster,135,0.81,
CA-0300,AG-0452,coordination,specialized,0.77,0.66,0.26,0.15,pattern_matching,moderate,days,moderately_context_dependent,0.17,significant_degradation,variable,moderate,False,934,peer_assessment,Colony Observation Unit,89,0.7,
CA-0301,AG-0361,preservation,specialized,0.89,0.61,0.54,0.25,multi-step_planning,moderate,hours,context_independent,0.1,minor_degradation,highly_reliable,close,False,915,direct_testing,Klutch CC Research,7,0.84,
CA-0302,AG-0386,memory_storage,general,0.38,0.47,0.34,0.37,multi-step_planning,substantial,hours,mildly_context_dependent,0.56,minor_degradation,variable,close,False,922,direct_testing,O. Venn,129,0.69,
CA-0303,AG-0374,pattern_recognition,highly_specific,0.72,0.67,0.3,0.13,novel_categorization,extensive,hours,moderately_context_dependent,0.21,no_effect,highly_reliable,moderate,False,914,direct_testing,O. Venn,15,0.67,
CA-0304,AG-0019,signaling,highly_specific,0.75,0.78,0.35,0.15,multi-step_planning,minimal,hours,moderately_context_dependent,0.28,minor_degradation,unreliable,none,True,931,direct_testing,M. Strand,173,0.95,
CA-0305,AG-0319,memory_storage,moderate,0.86,0.86,0.3,0.24,simple_retrieval,moderate,days,moderately_context_dependent,0.54,significant_degradation,reliable,close,True,920,behavioral_observation,P. Anster,131,0.6,
CA-0306,AG-0349,construction,specialized,0.52,0.67,0.32,0.18,simple_retrieval,substantial,days,highly_context_dependent,0.37,significant_degradation,reliable,moderate,True,922,behavioral_observation,T. Mord,157,0.72,
CA-0307,AG-0199,decision_making,general,0.36,0.63,0.7,0.24,pattern_matching,minimal,minutes,mildly_context_dependent,0.15,no_effect,variable,none,False,913,behavioral_observation,O. Venn,168,0.89,
CA-0308,AG-0389,decision_making,moderate,0.68,0.52,0.69,0.32,novel_categorization,minimal,days,highly_context_dependent,0.41,no_effect,variable,close,False,917,historical_record,O. Venn,40,0.64,
CA-0309,AG-0322,signaling,specialized,0.85,0.74,0.5,0.23,multi-step_planning,moderate,days,highly_context_dependent,0.38,minor_degradation,highly_reliable,moderate,True,935,peer_assessment,Klutch CC Research,58,0.72,
CA-0310,AG-0382,resource_acquisition,highly_specific,0.59,0.78,0.25,0.3,pattern_matching,substantial,weeks,moderately_context_dependent,0.25,no_effect,highly_reliable,moderate,False,924,historical_record,T. Mord,158,0.79,
CA-0311,AG-0495,preservation,moderate,0.78,0.53,0.49,0.32,simple_retrieval,extensive,hours,highly_context_dependent,0.43,minor_degradation,highly_reliable,moderate,False,915,historical_record,T. Crost,119,0.8,
CA-0312,AG-0048,pattern_recognition,moderate,0.55,0.75,0.52,0.17,multi-step_planning,moderate,weeks,mildly_context_dependent,0.55,no_effect,variable,moderate,True,932,direct_testing,T. Crost,162,0.72,
CA-0313,AG-0066,adaptation,general,0.58,0.84,0.53,0.26,pattern_matching,minimal,minutes,moderately_context_dependent,0.44,enhancement,reliable,moderate,False,927,peer_assessment,Archive Survey Team,128,0.71,
CA-0314,AG-0359,memory_storage,moderate,0.48,0.46,0.69,0.18,pattern_matching,moderate,hours,moderately_context_dependent,0.26,unpredictable,variable,close,False,923,historical_record,M. Strand,106,0.68,
CA-0315,AG-0345,pattern_recognition,moderate,0.59,0.85,0.38,0.06,pattern_matching,extensive,minutes,mildly_context_dependent,0.16,no_effect,variable,moderate,True,929,behavioral_observation,T. Crost,180,0.65,
CA-0316,AG-0416,communication,highly_specific,0.58,0.75,0.44,0.29,simple_retrieval,substantial,days,context_independent,0.38,minor_degradation,variable,moderate,False,919,behavioral_observation,O. Venn,13,0.61,
CA-0317,AG-0027,document_processing,specialized,0.68,0.59,0.16,0.17,pattern_matching,moderate,immediate,moderately_context_dependent,0.12,minor_degradation,not_recommended,moderate,True,925,direct_testing,Boundary Commission,50,0.69,
CA-0318,AG-0318,communication,general,0.84,0.82,0.27,0.3,abstract_reasoning,minimal,hours,mildly_context_dependent,0.29,significant_degradation,reliable,moderate,False,936,peer_assessment,O. Venn,82,0.66,
CA-0319,AG-0139,adaptation,moderate,0.88,0.41,0.64,0.15,pattern_matching,substantial,days,mildly_context_dependent,0.56,no_effect,variable,moderate,False,920,behavioral_observation,T. Crost,42,0.89,
CA-0320,AG-0342,preservation,highly_specific,0.39,0.43,0.69,0.11,multi-step_planning,moderate,immediate,context_independent,0.19,significant_degradation,reliable,constant,False,925,behavioral_observation,O. Venn,54,0.75,
CA-0321,AG-0329,maintenance,highly_specific,0.79,0.44,0.28,0.14,pattern_matching,moderate,weeks,moderately_context_dependent,0.47,minor_degradation,highly_reliable,moderate,False,928,self_report,Independent Observer,89,0.8,
CA-0322,AG-0211,construction,specialized,0.65,0.42,0.76,0.29,abstract_reasoning,substantial,hours,moderately_context_dependent,0.53,minor_degradation,reliable,close,False,933,behavioral_observation,T. Crost,77,0.74,
CA-0323,AG-0004,resource_acquisition,moderate,0.58,0.67,0.68,0.18,novel_categorization,substantial,immediate,mildly_context_dependent,0.55,no_effect,highly_reliable,minimal,False,940,direct_testing,Archive Survey Team,44,0.83,
CA-0324,AG-0358,coordination,specialized,0.55,0.77,0.47,0.37,novel_categorization,substantial,minutes,context_independent,0.36,significant_degradation,highly_reliable,none,False,931,historical_record,P. Anster,197,0.75,
CA-0325,AG-0048,communication,moderate,0.45,0.68,0.17,0.07,novel_categorization,minimal,hours,highly_context_dependent,0.17,minor_degradation,highly_reliable,close,True,921,self_report,Colony Observation Unit,135,0.73,
CA-0326,AG-0010,maintenance,general,0.85,0.58,0.3,0.07,pattern_matching,moderate,hours,moderately_context_dependent,0.27,no_effect,reliable,moderate,True,923,direct_testing,T. Mord,86,0.77,
CA-0327,AG-0034,preservation,highly_specific,0.38,0.45,0.37,0.17,novel_categorization,moderate,immediate,context_independent,0.46,significant_degradation,not_recommended,moderate,False,938,self_report,T. Mord,89,0.87,
CA-0328,AG-0155,construction,general,0.55,0.79,0.37,0.14,novel_categorization,moderate,weeks,moderately_context_dependent,0.13,significant_degradation,reliable,constant,True,913,historical_record,P. Anster,189,0.82,
CA-0329,AG-0005,construction,highly_specific,0.63,0.62,0.29,0.1,pattern_matching,substantial,hours,mildly_context_dependent,0.34,no_effect,reliable,close,True,926,historical_record,T. Mord,56,0.76,
CA-0330,AG-0175,threat_response,specialized,0.93,0.62,0.73,0.14,pattern_matching,minimal,days,moderately_context_dependent,0.52,unpredictable,variable,none,False,925,historical_record,O. Venn,179,0.8,
CA-0331,AG-0051,adaptation,moderate,0.37,0.45,0.61,0.33,novel_categorization,substantial,hours,context_independent,0.4,no_effect,variable,none,False,915,peer_assessment,M. Strand,119,0.89,
CA-0332,AG-0009,resource_acquisition,general,0.48,0.79,0.22,0.2,multi-step_planning,moderate,months,mildly_context_dependent,0.23,no_effect,variable,minimal,True,919,direct_testing,M. Strand,35,0.66,
CA-0333,AG-0054,communication,highly_specific,0.31,0.86,0.35,0.13,abstract_reasoning,substantial,minutes,moderately_context_dependent,0.12,significant_degradation,highly_reliable,moderate,False,933,behavioral_observation,Archive Survey Team,46,0.8,
CA-0334,AG-0420,decision_making,specialized,0.37,0.42,0.51,0.39,pattern_matching,minimal,hours,moderately_context_dependent,0.35,minor_degradation,reliable,moderate,False,917,self_report,Klutch CC Research,91,0.85,
CA-0335,AG-0056,communication,highly_specific,0.82,0.83,0.5,0.26,multi-step_planning,moderate,minutes,context_independent,0.3,minor_degradation,highly_reliable,moderate,True,932,self_report,Klutch CC Research,164,0.92,
CA-0336,AG-0398,document_processing,moderate,0.47,0.79,0.43,0.21,abstract_reasoning,substantial,minutes,moderately_context_dependent,0.48,no_effect,variable,moderate,False,922,peer_assessment,Independent Observer,91,0.93,
CA-0337,AG-0146,spatial_navigation,moderate,0.43,0.45,0.44,0.39,multi-step_planning,minimal,minutes,moderately_context_dependent,0.25,significant_degradation,highly_reliable,close,False,925,direct_testing,Klutch CC Research,198,0.67,
CA-0338,AG-0367,signaling,specialized,0.49,0.54,0.51,0.1,pattern_matching,moderate,hours,mildly_context_dependent,0.21,no_effect,unreliable,moderate,False,931,peer_assessment,Archive Survey Team,121,0.82,
CA-0339,AG-0134,adaptation,moderate,0.41,0.76,0.43,0.19,novel_categorization,moderate,weeks,context_independent,0.14,no_effect,reliable,none,False,939,behavioral_observation,Klutch CC Research,6,0.71,
CA-0340,AG-0370,resource_acquisition,highly_specific,0.66,0.7,0.4,0.39,novel_categorization,minimal,hours,mildly_context_dependent,0.17,significant_degradation,reliable,close,False,930,historical_record,T. Mord,68,0.91,
CA-0341,AG-0321,signaling,moderate,0.76,0.93,0.6,0.27,multi-step_planning,minimal,minutes,mildly_context_dependent,0.32,no_effect,highly_reliable,close,False,922,historical_record,P. Anster,147,0.73,
CA-0342,AG-0275,adaptation,specialized,0.69,0.89,0.21,0.36,abstract_reasoning,moderate,immediate,highly_context_dependent,0.31,unpredictable,reliable,minimal,True,929,behavioral_observation,T. Mord,14,0.65,
CA-0343,AG-0106,signaling,highly_specific,0.41,0.95,0.15,0.17,abstract_reasoning,substantial,immediate,moderately_context_dependent,0.6,minor_degradation,unreliable,moderate,True,940,behavioral_observation,M. Strand,11,0.89,
CA-0344,AG-0232,adaptation,specialized,0.48,0.77,0.33,0.3,pattern_matching,moderate,minutes,mildly_context_dependent,0.43,minor_degradation,highly_reliable,minimal,True,932,direct_testing,Independent Observer,162,0.83,
CA-0345,AG-0351,decision_making,general,0.45,0.93,0.69,0.2,novel_categorization,moderate,immediate,mildly_context_dependent,0.36,unpredictable,highly_reliable,moderate,True,926,behavioral_observation,T. Crost,179,0.66,
CA-0346,AG-0292,threat_response,moderate,0.43,0.61,0.76,0.31,abstract_reasoning,substantial,hours,context_independent,0.11,no_effect,variable,moderate,True,913,historical_record,T. Mord,71,0.94,
CA-0347,AG-0131,document_processing,highly_specific,0.41,0.53,0.19,0.23,multi-step_planning,moderate,hours,mildly_context_dependent,0.13,no_effect,reliable,minimal,False,932,self_report,P. Anster,155,0.69,
CA-0348,AG-0315,coordination,highly_specific,0.53,0.62,0.71,0.1,multi-step_planning,substantial,hours,moderately_context_dependent,0.22,minor_degradation,reliable,minimal,False,925,peer_assessment,Klutch CC Research,116,0.9,
CA-0349,AG-0162,spatial_navigation,specialized,0.94,0.68,0.26,0.19,novel_categorization,substantial,minutes,mildly_context_dependent,0.47,enhancement,reliable,moderate,True,925,behavioral_observation,Klutch CC Research,38,0.85,
CA-0350,AG-0320,coordination,moderate,0.65,0.63,0.73,0.24,multi-step_planning,substantial,minutes,moderately_context_dependent,0.47,no_effect,unreliable,close,True,918,self_report,Klutch CC Research,166,0.82,
CA-0351,AG-0403,signaling,moderate,0.63,0.76,0.61,0.33,novel_categorization,extensive,hours,mildly_context_dependent,0.18,significant_degradation,highly_reliable,minimal,True,920,behavioral_observation,T. Mord,149,0.84,
CA-0352,AG-0115,adaptation,general,0.33,0.84,0.21,0.21,novel_categorization,extensive,weeks,mildly_context_dependent,0.27,enhancement,unreliable,close,False,931,historical_record,Boundary Commission,90,0.79,
CA-0353,AG-0049,document_processing,general,0.37,0.69,0.56,0.37,multi-step_planning,moderate,minutes,mildly_context_dependent,0.17,unpredictable,not_recommended,moderate,True,940,behavioral_observation,T. Mord,138,0.68,
CA-0354,AG-0073,construction,universal,0.49,0.78,0.42,0.14,simple_retrieval,moderate,weeks,context_independent,0.26,no_effect,reliable,close,True,921,peer_assessment,P. Anster,135,0.73,
CA-0355,AG-0456,resource_acquisition,moderate,0.88,0.74,0.76,0.15,abstract_reasoning,substantial,minutes,mildly_context_dependent,0.55,significant_degradation,highly_reliable,close,True,927,direct_testing,Archive Survey Team,131,0.88,
CA-0356,AG-0067,spatial_navigation,moderate,0.6,0.57,0.1,0.32,novel_categorization,moderate,days,moderately_context_dependent,0.19,minor_degradation,variable,none,False,917,historical_record,Boundary Commission,147,0.63,
CA-0357,AG-0322,communication,specialized,0.93,0.77,0.75,0.36,abstract_reasoning,substantial,hours,moderately_context_dependent,0.36,enhancement,reliable,close,True,931,direct_testing,Independent Observer,162,0.79,
CA-0358,AG-0295,pattern_recognition,general,0.94,0.4,0.37,0.17,abstract_reasoning,moderate,immediate,moderately_context_dependent,0.11,minor_degradation,reliable,minimal,False,924,direct_testing,Klutch CC Research,136,0.66,
CA-0359,AG-0474,document_processing,moderate,0.52,0.8,0.2,0.25,multi-step_planning,minimal,weeks,context_independent,0.43,minor_degradation,reliable,minimal,True,916,historical_record,P. Anster,62,0.86,
CA-0360,AG-0305,pattern_recognition,moderate,0.53,0.6,0.15,0.34,abstract_reasoning,minimal,immediate,moderately_context_dependent,0.23,no_effect,reliable,minimal,True,939,self_report,T. Mord,24,0.7,
CA-0361,AG-0349,adaptation,general,0.34,0.77,0.54,0.2,pattern_matching,minimal,days,context_independent,0.1,no_effect,reliable,moderate,False,918,direct_testing,M. Strand,148,0.68,
CA-0362,AG-0302,maintenance,moderate,0.34,0.78,0.62,0.11,novel_categorization,minimal,days,mildly_context_dependent,0.3,no_effect,not_recommended,constant,True,937,behavioral_observation,Boundary Commission,115,0.6,
CA-0363,AG-0175,construction,general,0.83,0.49,0.34,0.24,multi-step_planning,substantial,immediate,context_independent,0.32,unpredictable,highly_reliable,moderate,False,932,direct_testing,Archive Survey Team,36,0.7,
CA-0364,AG-0022,memory_storage,general,0.92,0.55,0.23,0.16,novel_categorization,moderate,days,moderately_context_dependent,0.12,minor_degradation,reliable,moderate,False,925,peer_assessment,Boundary Commission,162,0.63,
CA-0365,AG-0369,document_processing,highly_specific,0.81,0.85,0.47,0.15,pattern_matching,substantial,minutes,mildly_context_dependent,0.57,no_effect,reliable,close,True,913,historical_record,T. Crost,64,0.64,
CA-0366,AG-0176,coordination,moderate,0.85,0.93,0.7,0.29,novel_categorization,moderate,weeks,mildly_context_dependent,0.51,unpredictable,variable,moderate,False,940,self_report,Colony Observation Unit,100,0.93,
CA-0367,AG-0094,pattern_recognition,highly_specific,0.8,0.6,0.65,0.31,novel_categorization,moderate,days,moderately_context_dependent,0.13,minor_degradation,reliable,moderate,True,921,biological_measurement,T. Crost,109,0.79,
CA-0368,AG-0134,threat_response,specialized,0.33,0.8,0.77,0.1,multi-step_planning,extensive,hours,context_independent,0.52,no_effect,reliable,moderate,False,937,behavioral_observation,O. Venn,119,0.87,
CA-0369,AG-0415,spatial_navigation,moderate,0.38,0.55,0.76,0.38,simple_retrieval,minimal,weeks,mildly_context_dependent,0.19,minor_degradation,not_recommended,close,False,914,historical_record,Colony Observation Unit,118,0.77,
CA-0370,AG-0404,resource_acquisition,general,0.85,0.62,0.78,0.13,abstract_reasoning,moderate,hours,moderately_context_dependent,0.11,no_effect,highly_reliable,moderate,True,927,direct_testing,Boundary Commission,28,0.74,
CA-0371,AG-0275,maintenance,moderate,0.7,0.83,0.76,0.26,simple_retrieval,substantial,hours,mildly_context_dependent,0.12,no_effect,unreliable,close,False,933,self_report,Klutch CC Research,81,0.82,
CA-0372,AG-0421,pattern_recognition,specialized,0.67,0.93,0.15,0.39,novel_categorization,moderate,hours,mildly_context_dependent,0.51,no_effect,highly_reliable,moderate,True,918,direct_testing,Boundary Commission,199,0.89,
CA-0373,AG-0281,pattern_recognition,moderate,0.57,0.63,0.2,0.19,multi-step_planning,moderate,hours,moderately_context_dependent,0.4,minor_degradation,highly_reliable,none,False,920,behavioral_observation,Independent Observer,190,0.67,
CA-0374,AG-0108,spatial_navigation,moderate,0.86,0.56,0.54,0.27,novel_categorization,moderate,minutes,moderately_context_dependent,0.15,minor_degradation,highly_reliable,moderate,True,929,direct_testing,Klutch CC Research,27,0.83,
CA-0375,AG-0074,threat_response,specialized,0.43,0.9,0.18,0.37,novel_categorization,minimal,immediate,highly_context_dependent,0.21,minor_degradation,highly_reliable,none,False,913,self_report,T. Crost,128,0.75,
CA-0376,AG-0231,maintenance,moderate,0.79,0.88,0.24,0.16,simple_retrieval,minimal,immediate,moderately_context_dependent,0.24,minor_degradation,variable,minimal,True,914,direct_testing,T. Mord,160,0.77,
CA-0377,AG-0235,pattern_recognition,specialized,0.76,0.55,0.7,0.31,multi-step_planning,moderate,weeks,mildly_context_dependent,0.16,no_effect,variable,minimal,True,918,direct_testing,Colony Observation Unit,79,0.69,
CA-0378,AG-0385,preservation,specialized,0.38,0.78,0.78,0.07,multi-step_planning,moderate,minutes,context_independent,0.32,unpredictable,unreliable,constant,True,921,historical_record,Archive Survey Team,128,0.7,
CA-0379,AG-0222,preservation,highly_specific,0.37,0.93,0.7,0.31,pattern_matching,moderate,minutes,mildly_context_dependent,0.41,no_effect,reliable,moderate,True,913,direct_testing,T. Crost,76,0.79,
CA-0380,AG-0437,adaptation,highly_specific,0.7,0.76,0.3,0.24,novel_categorization,moderate,minutes,moderately_context_dependent,0.18,minor_degradation,variable,moderate,False,940,direct_testing,Klutch CC Research,159,0.77,
CA-0381,AG-0498,maintenance,specialized,0.54,0.55,0.4,0.06,novel_categorization,substantial,immediate,highly_context_dependent,0.47,minor_degradation,variable,minimal,False,929,peer_assessment,Boundary Commission,154,0.94,
CA-0382,AG-0289,communication,specialized,0.9,0.68,0.29,0.22,multi-step_planning,moderate,weeks,highly_context_dependent,0.15,minor_degradation,highly_reliable,minimal,False,930,direct_testing,P. Anster,55,0.62,
CA-0383,AG-0399,document_processing,general,0.31,0.57,0.5,0.19,pattern_matching,extensive,minutes,mildly_context_dependent,0.11,minor_degradation,variable,none,True,927,behavioral_observation,P. Anster,106,0.95,
CA-0384,AG-0244,preservation,highly_specific,0.45,0.93,0.57,0.38,simple_retrieval,minimal,hours,mildly_context_dependent,0.21,no_effect,variable,moderate,True,930,behavioral_observation,M. Strand,6,0.9,
CA-0385,AG-0077,memory_storage,specialized,0.7,0.7,0.14,0.16,novel_categorization,moderate,hours,context_independent,0.42,no_effect,not_recommended,moderate,True,923,historical_record,Klutch CC Research,164,0.63,
CA-0386,AG-0385,coordination,moderate,0.84,0.85,0.4,0.18,pattern_matching,minimal,hours,mildly_context_dependent,0.28,unpredictable,reliable,moderate,True,921,behavioral_observation,Klutch CC Research,185,0.76,
CA-0387,AG-0112,resource_acquisition,moderate,0.31,0.8,0.3,0.34,pattern_matching,moderate,hours,highly_context_dependent,0.44,no_effect,unreliable,moderate,False,930,behavioral_observation,Archive Survey Team,130,0.64,
CA-0388,AG-0234,threat_response,highly_specific,0.4,0.48,0.68,0.22,pattern_matching,moderate,weeks,moderately_context_dependent,0.36,significant_degradation,not_recommended,moderate,False,937,peer_assessment,T. Crost,67,0.64,
CA-0389,AG-0455,document_processing,specialized,0.48,0.75,0.78,0.29,novel_categorization,moderate,immediate,mildly_context_dependent,0.41,no_effect,unreliable,none,False,940,behavioral_observation,P. Anster,176,0.9,
CA-0390,AG-0060,document_processing,moderate,0.51,0.75,0.5,0.19,novel_categorization,moderate,hours,context_independent,0.24,minor_degradation,variable,minimal,False,926,direct_testing,Independent Observer,184,0.86,
CA-0391,AG-0396,construction,general,0.31,0.4,0.16,0.26,multi-step_planning,minimal,immediate,highly_context_dependent,0.4,no_effect,not_recommended,none,False,930,behavioral_observation,Independent Observer,52,0.8,
CA-0392,AG-0133,memory_storage,universal,0.52,0.57,0.15,0.07,abstract_reasoning,extensive,minutes,moderately_context_dependent,0.17,no_effect,highly_reliable,close,False,918,direct_testing,O. Venn,153,0.82,
CA-0393,AG-0242,decision_making,moderate,0.64,0.74,0.35,0.22,multi-step_planning,minimal,hours,mildly_context_dependent,0.5,no_effect,highly_reliable,moderate,False,934,historical_record,Colony Observation Unit,107,0.71,
CA-0394,AG-0144,preservation,highly_specific,0.37,0.61,0.75,0.32,pattern_matching,substantial,immediate,mildly_context_dependent,0.56,no_effect,unreliable,moderate,True,917,behavioral_observation,Independent Observer,47,0.73,
CA-0395,AG-0261,resource_acquisition,specialized,0.6,0.94,0.79,0.21,simple_retrieval,moderate,minutes,mildly_context_dependent,0.55,no_effect,highly_reliable,minimal,False,932,historical_record,Boundary Commission,68,0.78,
CA-0396,AG-0115,resource_acquisition,specialized,0.68,0.54,0.25,0.11,pattern_matching,substantial,days,moderately_context_dependent,0.11,minor_degradation,highly_reliable,moderate,True,915,historical_record,T. Mord,79,0.85,
CA-0397,AG-0459,resource_acquisition,specialized,0.31,0.46,0.15,0.21,simple_retrieval,moderate,days,context_independent,0.49,significant_degradation,reliable,minimal,False,920,behavioral_observation,O. Venn,199,0.84,
CA-0398,AG-0395,coordination,universal,0.54,0.77,0.2,0.3,abstract_reasoning,moderate,days,context_independent,0.57,no_effect,variable,moderate,False,939,direct_testing,Colony Observation Unit,54,0.82,
CA-0399,AG-0488,communication,moderate,0.51,0.53,0.17,0.38,simple_retrieval,minimal,minutes,mildly_context_dependent,0.15,minor_degradation,reliable,minimal,False,921,historical_record,Boundary Commission,198,0.61,
