failure_id,trajectory_id,intended_form_id,intended_form_name,intended_basin_id,failure_location_x,failure_location_y,failure_location_z,failure_basin_id,failure_type,severity,proximate_cause,contributing_factors,distance_from_target,distance_traveled,progress_percentage,final_state,recovery_attempted,recovery_successful,failure_year,documenter,documentation_source,confidence,description,lessons_learned,notes
NF-0186,,MS-0049,Form 0049,BA-033,-0.1556,-0.3923,0.0193,BA-014,infinite_loop,0.611,insufficient_energy,low_stability,1.9873,0.5299,85.5,recovered,False,,921,K. Strand,direct_observation,0.857,System failed to reach intended destination due to insufficient_energy.,Indicates boundary interference is more common near BA-014.,
NF-0187,,MS-0085,Form 0085,BA-039,-0.3389,-0.4558,0.9511,inter-basin,reversal,0.79,dens_proximity,"prior_damage,low_stability",0.8949,1.0091,90.8,alternative_arrival,False,,928,Archive Survey Team,direct_observation,0.581,Navigation failure of type 'reversal' observed at inter-basin.,Suggests need for stronger attractor signals in this region.,
NF-0188,NT-0104,MS-0096,Form 0096,BA-040,0.5265,-0.8835,0.3954,inter-basin,dissolution,0.935,insufficient_energy,low_stability,0.7479,1.2281,25.6,ongoing_drift,True,False,926,C. Vells,form_examination,0.59,Navigation failure of type 'dissolution' observed at inter-basin.,Demonstrates importance of energy reserves for long trajectories.,
NF-0189,,MS-0022,Form 0022,BA-012,0.597,-0.253,0.8871,BA-001,interference,0.528,competing_attractors,,1.4804,2.6882,13.4,dissolved,True,False,921,R. Voss,direct_observation,0.902,Trajectory terminated in dissolved state after interference event.,,
NF-0190,NT-0003,MS-0084,Form 0084,BA-047,0.411,0.5598,0.5932,BA-016,wandering,0.572,navigation_error,"low_stability,weak_signal",1.3178,1.8486,33.8,dissolved,True,False,921,C. Vells,trajectory_analysis,0.782,System failed to reach intended destination due to navigation_error.,,
NF-0191,NT-0408,MS-0093,Form 0093,BA-002,0.9065,-0.53,0.9815,BA-022,exhaustion,0.924,insufficient_energy,,1.9848,0.9231,71.8,alternative_arrival,True,False,925,Archive Survey Team,direct_observation,0.892,System failed to reach intended destination due to insufficient_energy.,Suggests need for stronger attractor signals in this region.,
NF-0192,NT-0323,MS-0036,Form 0036,BA-014,0.3782,-0.9707,0.9546,BA-012,wrong_attractor,0.537,navigation_error,,0.8662,2.4839,31.5,stuck,True,False,918,Boundary Commission,direct_observation,0.571,Trajectory terminated in stuck state after wrong_attractor event.,,
NF-0193,NT-0279,MS-0072,Form 0072,BA-037,0.8256,0.8949,0.0573,inter-basin,local_minimum,0.572,boundary_interference,,1.6389,0.3701,61.4,stuck,True,False,927,Boundary Commission,trajectory_analysis,0.563,Trajectory terminated in stuck state after local_minimum event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0194,NT-0075,,,,-0.8138,0.6619,-0.542,inter-basin,wandering,0.446,competing_attractors,weak_signal,,0.4106,,stuck,True,False,922,Archive Survey Team,form_examination,0.558,System failed to reach intended destination due to competing_attractors.,Suggests need for stronger attractor signals in this region.,
NF-0195,,MS-0085,Form 0085,BA-039,-0.7819,0.5373,0.1446,BA-011,infinite_loop,0.788,boundary_interference,,1.3068,1.2793,62.6,recovered,False,,924,Boundary Commission,form_examination,0.83,Trajectory terminated in recovered state after infinite_loop event.,Suggests need for stronger attractor signals in this region.,
NF-0196,,,,,0.4631,-0.8848,-0.0396,BA-011,ridge_block,0.624,unknown,prior_damage,,2.7792,,recovered,False,,923,K. Strand,aftermath_study,0.665,System failed to reach intended destination due to unknown.,Demonstrates importance of energy reserves for long trajectories.,
NF-0197,,MS-0055,Form 0055,BA-036,-0.2093,-0.7478,-0.7639,inter-basin,wrong_attractor,0.426,competing_attractors,,0.8301,1.7649,32.8,recovered,True,False,919,C. Vells,trajectory_analysis,0.504,Trajectory terminated in recovered state after wrong_attractor event.,Highlights the danger of competing_attractors in navigation.,
NF-0198,,MS-0092,Form 0092,BA-003,-0.1241,-0.117,-0.4696,BA-013,infinite_loop,0.661,insufficient_energy,,1.3344,0.1155,22.0,recovered,False,,922,Archive Survey Team,direct_observation,0.83,Navigation failure of type 'infinite_loop' observed at BA-013.,Demonstrates importance of energy reserves for long trajectories.,
NF-0199,NT-0228,MS-0060,Form 0060,BA-031,-0.5717,-0.1807,0.3253,BA-019,infinite_loop,0.781,substrate_damage,environmental_noise,0.3295,1.2928,41.3,recovered,True,False,918,Archive Survey Team,form_examination,0.822,Navigation failure of type 'infinite_loop' observed at BA-019.,,
NF-0200,,,,,0.7509,0.4726,0.3751,BA-011,local_minimum,0.467,insufficient_energy,,,0.6181,,alternative_arrival,True,True,927,K. Strand,direct_observation,0.649,Navigation failure of type 'local_minimum' observed at BA-011.,Highlights the danger of insufficient_energy in navigation.,
