event_id,event_name,agent_type,agent_id,agent_horizon_profile,temporal_gap_days,bridge_type,bridge_mechanism,cause_description,cause_year,intended_effect,effect_year,bridge_completed,outcome_type,fidelity,horizon_requirement,enabling_factors,risk_factors,documented_year,documenter,documentation_source,confidence,description,notes
TF-0215,Construction Bridge 215,collective,AGT-867,institutional,17990,construction,trained_successor,region built for future use,822,region to use construction,871,True,partial_success,0.38,21291,community_reinforcement,successor_failure,931,Archive Survey Team,direct_observation,0.73,Temporal bridge of type construction via trained_successor,
TF-0216,Warning Bridge 216,person,AGT-154,standard_worker,7719,warning,trained_successor,Warning issued about future project,877,institution to heed warning,898,False,failed_bridge_broken,0.15,6288,,"material_decay,successor_failure",929,C. Vells,institutional_record,0.88,Temporal bridge of type warning via trained_successor,
TF-0217,Preservation Bridge 217,institution,AGT-267,caretaker,17281,preservation,institutional_structure,generation preserved for future access,925,scholars to access preserved material,,,pending,,16416,institutional_support,,927,M. Strand,testimony,0.75,Temporal bridge of type preservation via institutional_structure,
TF-0218,Construction Bridge 218,institution,AGT-331,institutional,16152,construction,spatial_configuration,community built for future use,887,region to use construction,931,True,successful_as_intended,0.99,15074,community_reinforcement,"political_change,dens_proximity",916,T. Vells,testimony,0.58,Temporal bridge of type construction via spatial_configuration,
TF-0219,Repair Bridge 219,collective,AGT-607,standard_worker,7489,repair,written_record,institution repaired for future function,821,scholars to benefit from repair,841,True,successful_as_intended,0.94,8788,durable_materials,material_decay,930,Archive Survey Team,institutional_record,0.55,Temporal bridge of type repair via written_record,
TF-0220,Cultivation Bridge 220,collective,AGT-197,standard_worker,542,cultivation,collective_memory,community planted/nurtured for future harvest,859,generation to harvest cultivation,860,True,partial_success,0.39,619,,material_decay,934,Klutch CC Counseling,direct_observation,0.55,Temporal bridge of type cultivation via collective_memory,
TF-0221,Investment Bridge 221,collective,AGT-839,philosopher,5716,investment,trained_successor,Resources allocated for future community,855,project to benefit from resources,870,True,successful_as_intended,0.86,6849,strong_purpose,"material_decay,successor_failure",940,C. Vells,testimony,0.72,Temporal bridge of type investment via trained_successor,
TF-0222,Communication Bridge 222,person,AGT-562,visionary,8452,communication,collective_memory,Message sent to future project,846,project to receive message,869,False,failed_bridge_broken,0.15,7594,strong_purpose,material_decay,929,P. Anster,archival_record,0.81,Temporal bridge of type communication via collective_memory,
TF-0223,Promise Bridge 223,person,AGT-260,visionary,7804,promise,collective_memory,Commitment made spanning to region,845,institution to witness fulfillment,866,True,successful_as_intended,0.86,6795,"strong_purpose,community_reinforcement",,932,T. Vells,testimony,0.92,Temporal bridge of type promise via collective_memory,
TF-0224,Construction Bridge 224,collective,AGT-911,institutional,641,construction,physical_artifact,community built for future use,847,region to use construction,848,True,partial_success,0.46,738,durable_materials,,924,K. Strand,institutional_record,0.66,Temporal bridge of type construction via physical_artifact,
TF-0225,Construction Bridge 225,collective,AGT-699,caretaker,5428,construction,biological_growth,scholars built for future use,897,generation to use construction,911,True,successful_as_intended,0.85,6127,,material_decay,912,R. Voss,archival_record,0.85,Temporal bridge of type construction via biological_growth,
TF-0226,Communication Bridge 226,person,AGT-982,visionary,26425,communication,written_record,Message sent to future scholars,875,region to receive message,,,pending,,27748,"durable_materials,strong_purpose,community_reinforcement","material_decay,political_change",939,Klutch CC Counseling,testimony,0.56,Temporal bridge of type communication via written_record,
TF-0227,Communication Bridge 227,person,AGT-410,caretaker,17337,communication,trained_successor,Message sent to future scholars,915,project to receive message,,,pending,,17276,community_reinforcement,"material_decay,political_change,successor_failure",927,Boundary Commission,testimony,0.65,Temporal bridge of type communication via trained_successor,
TF-0228,Planning Bridge 228,collective,AGT-375,standard_worker,10978,planning,trained_successor,Plans laid for future project,871,generation to execute plans,901,False,failed_bridge_broken,0.06,11690,,"material_decay,successor_failure",921,C. Vells,institutional_record,0.76,Temporal bridge of type planning via trained_successor,
TF-0229,Legacy Bridge 229,collective,AGT-169,standard_student,12484,legacy,trained_successor,institution created to outlast creator,928,region to inherit legacy,,,pending,,14875,community_reinforcement,"political_change,successor_failure",921,Archive Survey Team,testimony,0.58,Temporal bridge of type legacy via trained_successor,
TF-0230,Promise Bridge 230,person,AGT-941,visionary,16868,promise,written_record,Commitment made spanning to community,865,generation to witness fulfillment,911,False,failed_bridge_broken,0.08,18622,"durable_materials,strong_purpose","material_decay,political_change",923,Independent Observer,direct_observation,0.69,Temporal bridge of type promise via written_record,
TF-0231,Construction Bridge 231,collective,AGT-970,institutional,12992,construction,collective_memory,generation built for future use,812,community to use construction,847,False,failed_effect_missed,0.07,12594,community_reinforcement,"political_change,dens_proximity",931,Boundary Commission,direct_observation,0.63,Temporal bridge of type construction via collective_memory,
TF-0232,Investment Bridge 232,collective,AGT-409,survivor,4681,investment,collective_memory,Resources allocated for future scholars,881,community to benefit from resources,893,True,partial_success,0.33,5257,,material_decay,933,P. Anster,institutional_record,0.68,Temporal bridge of type investment via collective_memory,
TF-0233,Construction Bridge 233,collective,AGT-675,institutional,14319,construction,trained_successor,scholars built for future use,874,community to use construction,,,pending,,13918,,"material_decay,political_change,successor_failure",930,Archive Survey Team,direct_observation,0.76,Temporal bridge of type construction via trained_successor,
TF-0234,Communication Bridge 234,person,AGT-116,caretaker,1770,communication,written_record,Message sent to future generation,834,scholars to receive message,838,False,failed_bridge_broken,0.06,1725,durable_materials,,937,Independent Observer,institutional_record,0.84,Temporal bridge of type communication via written_record,
TF-0235,Promise Bridge 235,person,AGT-452,standard_worker,13757,promise,collective_memory,Commitment made spanning to region,814,community to witness fulfillment,851,False,failed_effect_missed,0.15,14960,,,936,Klutch CC Counseling,testimony,0.8,Temporal bridge of type promise via collective_memory,
TF-0236,Construction Bridge 236,collective,AGT-751,institutional,11748,construction,collective_memory,institution built for future use,838,project to use construction,870,False,unknown,,12746,community_reinforcement,,936,Independent Observer,testimony,0.81,Temporal bridge of type construction via collective_memory,
TF-0237,Cultivation Bridge 237,person,AGT-430,survivor,18116,cultivation,physical_artifact,generation planted/nurtured for future harvest,900,project to harvest cultivation,,,pending,,21500,durable_materials,dens_proximity,932,K. Strand,archival_record,0.89,Temporal bridge of type cultivation via physical_artifact,
TF-0238,Warning Bridge 238,person,AGT-392,caretaker,16101,warning,ritual_practice,Warning issued about future institution,858,generation to heed warning,902,False,failed_effect_missed,0.14,16982,,,923,Boundary Commission,institutional_record,0.85,Temporal bridge of type warning via ritual_practice,
TF-0239,Repair Bridge 239,person,AGT-476,philosopher,18985,repair,institutional_structure,institution repaired for future function,916,region to benefit from repair,,,pending,,15465,"institutional_support,strong_purpose","material_decay,political_change",916,C. Vells,direct_observation,0.79,Temporal bridge of type repair via institutional_structure,
TF-0240,Communication Bridge 240,person,AGT-589,standard_worker,17189,communication,institutional_structure,Message sent to future project,899,region to receive message,,,pending,,15162,institutional_support,,940,P. Anster,archival_record,0.88,Temporal bridge of type communication via institutional_structure,
TF-0241,Communication Bridge 241,person,AGT-118,standard_worker,9602,communication,physical_artifact,Message sent to future institution,909,institution to receive message,,,pending,,9177,durable_materials,political_change,921,M. Strand,institutional_record,0.74,Temporal bridge of type communication via physical_artifact,
TF-0242,Planning Bridge 242,collective,AGT-751,survivor,15889,planning,physical_artifact,Plans laid for future generation,821,region to execute plans,864,False,failed_bridge_broken,0.14,13675,durable_materials,material_decay,925,P. Anster,direct_observation,0.54,Temporal bridge of type planning via physical_artifact,
TF-0243,Planning Bridge 243,person,AGT-666,caretaker,4100,planning,trained_successor,Plans laid for future community,838,project to execute plans,849,True,successful_as_intended,0.93,3346,,successor_failure,918,P. Anster,testimony,0.94,Temporal bridge of type planning via trained_successor,
TF-0244,Repair Bridge 244,collective,AGT-190,caretaker,11904,repair,ritual_practice,scholars repaired for future function,882,generation to benefit from repair,914,True,partial_success,0.3,10426,,material_decay,931,P. Anster,direct_observation,0.86,Temporal bridge of type repair via ritual_practice,
TF-0245,Legacy Bridge 245,collective,AGT-647,standard_student,13809,legacy,spatial_configuration,project created to outlast creator,865,generation to inherit legacy,902,False,failed_bridge_broken,0.24,12218,,political_change,929,Archive Survey Team,testimony,0.74,Temporal bridge of type legacy via spatial_configuration,
TF-0246,Preservation Bridge 246,collective,AGT-969,institutional,4969,preservation,biological_growth,institution preserved for future access,853,institution to access preserved material,,,pending,,5378,,political_change,913,M. Strand,institutional_record,0.66,Temporal bridge of type preservation via biological_growth,
TF-0247,Promise Bridge 247,person,AGT-566,caretaker,29006,promise,written_record,Commitment made spanning to project,837,community to witness fulfillment,916,True,partial_success,0.59,33675,durable_materials,"material_decay,dens_proximity",914,K. Strand,archival_record,0.91,Temporal bridge of type promise via written_record,
TF-0248,Promise Bridge 248,person,AGT-876,visionary,8537,promise,physical_artifact,Commitment made spanning to generation,868,generation to witness fulfillment,891,True,successful_as_intended,0.99,7644,"durable_materials,strong_purpose",,924,Klutch CC Counseling,direct_observation,0.66,Temporal bridge of type promise via physical_artifact,
TF-0249,Construction Bridge 249,institution,AGT-584,institutional,6336,construction,collective_memory,project built for future use,915,scholars to use construction,932,True,partial_success,0.48,6114,,,919,Klutch CC Counseling,archival_record,0.54,Temporal bridge of type construction via collective_memory,
TF-0250,Promise Bridge 250,person,AGT-389,visionary,11899,promise,spatial_configuration,Commitment made spanning to institution,819,generation to witness fulfillment,851,False,unknown,,12461,"strong_purpose,community_reinforcement",dens_proximity,913,Klutch CC Counseling,testimony,0.6,Temporal bridge of type promise via spatial_configuration,
