measurement_id,form_id,form_type,form_complexity,ingression_rate,onset_delay_minutes,completion_time_minutes,rate_variability,acceleration_pattern,location,region,dens_proximity_km,boundary_instability,spatial_curvature,barrier_thickness,observer_presence,observer_attention_level,competing_forms,substrate_receptivity,expected_rate,rate_deviation,deviation_explanation,measurement_year,measurer,method,confidence,notes
IR-0239,FORM-0400,pattern,highly_complex,71.6,49.91,201.06,0.34,stepped,Capital proper,Capital,214.3,5.7,moderately_curved,moderate,False,none,0,receptive,78.5,-6.9,,924,A. Vells,pattern_tracking,0.72,
IR-0240,,structure,complex,75.2,13.88,50.37,0.46,decelerating,Southern approach,Yeller Quarry,112.6,7.4,highly_curved,thin,False,none,4,receptive,87.0,-11.8,boundary fluctuation,922,Capital Survey Team,retrospective_analysis,0.7,
IR-0241,,phenomenon,highly_complex,77.7,6.94,28.57,0.1,spike_plateau,Northern approach,Tower of Mirado,195.4,4.0,mildly_curved,thick,False,none,3,receptive,70.0,7.7,,918,E. Pol,substrate_monitoring,0.53,
IR-0242,FORM-0610,phenomenon,moderate,80.6,38.67,64.28,0.58,spike_plateau,Scholar's Quarter,Capital,229.5,4.5,moderately_curved,moderate,True,active,4,neutral,72.5,8.1,,930,Ingression Study Group,direct_observation,0.93,
IR-0243,FORM-0141,hybrid,moderate,46.4,45.16,71.8,0.54,stepped,Klutch CC vicinity,Densmok,248.7,2.7,flat,thick,True,active,3,resistant,63.5,-17.1,competing form,935,M. Strand,retrospective_analysis,0.88,
IR-0244,FORM-0483,place,moderate,86.2,43.19,82.06,0.19,constant,Sector NE-4,Dens boundary,28.5,7.4,moderately_curved,thin,False,none,0,highly_receptive,87.0,-0.8,,932,C. Vells,boundary_correlation,0.84,
IR-0245,FORM-0795,behavior,complex,65.4,24.23,82.79,0.57,spike_plateau,Capital proper,Capital,269.5,3.2,mildly_curved,thick,False,none,5,highly_receptive,66.0,-0.6,,934,M. Strand,boundary_correlation,0.72,
IR-0246,FORM-0901,pattern,simple,45.6,66.42,203.62,0.11,spike_plateau,Capital outskirts,Capital,245.8,3.1,flat,thick,False,none,1,neutral,65.5,-19.9,substrate resistance,918,Boundary Commission,boundary_correlation,0.81,
IR-0247,FORM-0997,place,highly_complex,40.8,63.97,217.88,0.32,stepped,Northern monastery,Northo,329.8,2.1,mildly_curved,thick,True,active,5,blocking,60.5,-19.7,competing form,922,Boundary Commission,direct_observation,0.53,
IR-0248,,phenomenon,complex,80.1,62.21,228.03,0.25,constant,Sector NE-4,Dens boundary,49.6,7.8,moderately_curved,thin,True,active,4,receptive,89.0,-8.9,,932,A. Prebel,retrospective_analysis,0.78,
IR-0249,FORM-0370,relationship,simple,34.7,46.5,75.96,0.37,constant,Lake vicinity,Northo,386.0,-0.3,mildly_curved,very_thick,True,passive,2,highly_receptive,48.5,-13.8,substrate resistance,933,Boundary Commission,substrate_monitoring,0.87,
IR-0250,FORM-0622,place,highly_complex,100,36.19,64.17,0.17,oscillating,Northern margin,Dens boundary,34.9,8.7,highly_curved,thin,True,intense,3,resistant,93.5,6.5,,927,E. Pol,direct_observation,0.6,
