equilibrium_id,equilibrium_name,entity_ids,entity_count,equilibrium_type,stability_score,restoration_rate,net_tension,sympathetic_force_total,antipathetic_force_total,force_ratio,centroid_x,centroid_y,centroid_z,spatial_extent,formation_year,persistence_years,perturbation_count,documented_by,documentation_method,confidence,description,notes
TE-0210,,"MS-0037,MS-0116,EN-002,MS-0114,MS-0100,MS-0150,MS-0119,MS-0077",8,cluster,0.75,0.58,0.0938,5.22,6.3,0.829,-0.514,-0.4877,0.3629,0.324,918,58,1,P. Tross,mathematical_derivation,0.8,Cluster equilibrium involving 8 entities.,
TE-0211,,"MS-0072,EN-011,MS-0143,EN-009,MS-0107",5,cluster,0.69,0.61,0.1225,3.69,4.72,0.782,-0.5993,0.5227,0.5314,0.179,1833,6,1,Archive Survey Team,historical_persistence,0.61,Cluster equilibrium involving 5 entities.,
TE-0212,,"MS-0120,MS-0102,MS-0031,MS-0041",4,cluster,0.75,0.7,0.0538,6.95,6.24,1.114,-0.4008,0.5347,-0.3596,0.191,1843,32,3,K. Strand,stability_testing,0.56,Cluster equilibrium involving 4 entities.,
TE-0213,,"MS-0103,MS-0074,MS-0066,MS-0105,EN-006,MS-0098,MS-0048,MS-0006,EN-010,MS-0112,MS-0039",11,constellation,0.5,0.49,0.1455,1.89,1.41,1.34,-0.4571,-0.5518,0.5038,0.378,1836,52,6,K. Strand,stability_testing,0.85,Constellation equilibrium involving 11 entities.,
TE-0214,,"MS-0112,MS-0124,MS-0073,MS-0119,MS-0008,MS-0132,MS-0139",7,cluster,0.63,0.55,0.0827,7.82,9.23,0.847,-0.6899,0.4254,0.5828,0.202,913,13,0,P. Tross,mathematical_derivation,0.66,Cluster equilibrium involving 7 entities.,
TE-0215,Northern Stable Configuration,"MS-0061,MS-0006,MS-0131",3,triadic,0.78,0.57,0.0813,4.52,5.32,0.85,-0.3982,-0.3627,0.1303,0.165,918,16,3,P. Tross,mathematical_derivation,0.79,Triadic equilibrium involving 3 entities.,
TE-0216,,"EN-008,MS-0047,MS-0074,EN-003,EN-001",5,cluster,0.92,0.72,0.0611,7.61,8.6,0.885,-0.4439,-0.7786,0.1684,0.154,1845,84,3,Archive Survey Team,constellation_mapping,0.66,Cluster equilibrium involving 5 entities.,
TE-0217,,"EN-006,MS-0141,MS-0146,MS-0030,MS-0072",5,nested,0.58,0.57,0.0632,2.02,1.78,1.135,0.4112,0.6801,-0.0735,0.256,928,80,4,Archive Survey Team,constellation_mapping,0.7,Nested equilibrium involving 5 entities.,
TE-0218,,"MS-0113,MS-0065,MS-0040,MS-0027",4,cluster,0.9,0.95,0.1354,1.97,1.5,1.313,-0.4231,0.6457,-0.6091,0.259,930,70,7,T. Vells,constellation_mapping,0.92,Cluster equilibrium involving 4 entities.,
TE-0219,,"EN-004,MS-0073,MS-0019",3,triadic,0.78,0.68,0.0524,6.33,5.7,1.111,0.4852,-0.7916,-0.3757,0.247,925,73,2,Constellation Survey,historical_persistence,0.83,Triadic equilibrium involving 3 entities.,
TE-0220,,"MS-0007,MS-0078,MS-0020",3,triadic,0.59,0.46,0.0418,1.49,1.62,0.92,-0.2712,0.685,-0.5838,0.205,922,85,9,Archive Survey Team,historical_persistence,0.77,Triadic equilibrium involving 3 entities.,
TE-0221,,"MS-0033,EN-002,MS-0047,MS-0015,MS-0048,MS-0087,MS-0084,MS-0139",8,cluster,0.59,0.59,0.1626,7.83,5.64,1.388,-0.4162,-0.6292,0.1707,0.248,914,70,0,P. Tross,stability_testing,0.57,Cluster equilibrium involving 8 entities.,
TE-0222,,"MS-0007,MS-0023,MS-0019",3,triadic,0.83,0.71,0.1206,1.44,1.13,1.274,-0.645,0.5002,0.4764,0.227,928,50,2,P. Tross,mathematical_derivation,0.66,Triadic equilibrium involving 3 entities.,
TE-0223,,"MS-0087,MS-0115,EN-002,MS-0036,MS-0099,MS-0005,EN-004,MS-0042",8,cluster,0.95,0.91,0.0728,2.93,3.39,0.864,-0.079,0.1923,-0.2645,0.276,929,98,17,T. Vells,constellation_mapping,0.93,Cluster equilibrium involving 8 entities.,
TE-0224,,"EN-007,EN-008",2,dyadic,0.57,0.55,0.174,1.99,1.4,1.421,-0.4164,0.1879,-0.7142,0.138,1833,48,9,P. Tross,historical_persistence,0.85,Dyadic equilibrium involving 2 entities.,
TE-0225,,"EN-004,MS-0066,MS-0006",3,nested,0.36,0.39,0.0709,2.34,2.03,1.153,0.5691,0.2178,0.1258,0.112,930,83,9,Archive Survey Team,constellation_mapping,0.9,Nested equilibrium involving 3 entities.,
TE-0226,Central Stable Configuration,"MS-0016,MS-0002",2,dyadic,0.55,0.56,0.0757,6.9,8.03,0.859,0.6185,0.6427,-0.1228,0.183,914,39,0,Constellation Survey,stability_testing,0.79,Dyadic equilibrium involving 2 entities.,
TE-0227,The Binary Equilibrium,"MS-0009,MS-0055",2,dyadic,0.89,0.85,0.0674,6.5,7.44,0.874,-0.0047,0.208,0.2768,0.219,920,56,0,T. Vells,mathematical_derivation,0.91,Dyadic equilibrium involving 2 entities.,
TE-0228,,"MS-0020,MS-0033,MS-0022",3,nested,0.5,0.4,0.1605,4.88,3.53,1.382,0.6498,0.3613,0.306,0.214,916,32,6,T. Vells,stability_testing,0.92,Nested equilibrium involving 3 entities.,
TE-0229,,"MS-0025,MS-0039,MS-0135,EN-008",4,cluster,0.5,0.48,0.1216,3.07,3.92,0.783,-0.7283,0.0783,0.5889,0.179,913,27,3,T. Vells,tension_analysis,0.77,Cluster equilibrium involving 4 entities.,
TE-0230,,"MS-0067,MS-0094",2,dyadic,0.92,0.82,0.0703,2.91,3.35,0.869,-0.5061,0.3172,-0.4734,0.183,916,33,6,P. Tross,tension_analysis,0.55,Dyadic equilibrium involving 2 entities.,
TE-0231,Outer Stable Configuration,"EN-007,MS-0020,MS-0005,MS-0010,MS-0041,EN-007",6,cluster,0.73,0.77,0.0604,4.04,3.58,1.128,-0.4776,-0.3955,0.062,0.224,928,61,5,P. Tross,mathematical_derivation,0.62,Cluster equilibrium involving 6 entities.,
TE-0232,,"MS-0110,MS-0017,EN-007",3,triadic,0.56,0.55,0.0374,7.86,8.47,0.928,-0.393,0.782,-0.7581,0.244,927,25,5,P. Tross,constellation_mapping,0.52,Triadic equilibrium involving 3 entities.,
TE-0233,,"EN-003,MS-0133,MS-0096,EN-003",4,cluster,0.66,0.63,0.0436,2.96,3.23,0.916,-0.4009,-0.486,-0.5206,0.235,925,14,0,Constellation Survey,stability_testing,0.62,Cluster equilibrium involving 4 entities.,
TE-0234,,"MS-0148,EN-010,MS-0105,MS-0066,MS-0019,MS-0063,MS-0104,EN-008",8,cluster,0.73,0.67,0.0772,5.74,6.7,0.857,-0.2001,-0.4662,-0.0086,0.25,913,68,5,T. Vells,stability_testing,0.88,Cluster equilibrium involving 8 entities.,
TE-0235,The Binary Equilibrium,"MS-0077,MS-0041",2,dyadic,0.75,0.67,0.1056,1.99,2.46,0.809,0.6158,-0.3523,-0.7332,0.162,1844,54,0,Constellation Survey,mathematical_derivation,0.93,Dyadic equilibrium involving 2 entities.,
TE-0236,,"MS-0008,MS-0112,EN-007,MS-0034",4,cluster,0.61,0.55,0.0339,6.13,6.56,0.934,0.7741,-0.402,0.4048,0.163,920,58,1,P. Tross,constellation_mapping,0.91,Cluster equilibrium involving 4 entities.,
TE-0237,,"MS-0007,MS-0043,MS-0059",3,nested,0.56,0.6,0.0559,2.93,2.62,1.118,0.5904,0.7235,0.4055,0.183,1836,58,2,T. Vells,historical_persistence,0.62,Nested equilibrium involving 3 entities.,
TE-0238,Ancient Stable Configuration,"MS-0127,MS-0128",2,dyadic,0.78,0.82,0.0193,4.76,4.58,1.039,-0.6166,-0.3587,-0.3742,0.203,928,46,6,T. Vells,tension_analysis,0.54,Dyadic equilibrium involving 2 entities.,
TE-0239,,"MS-0137,EN-010,EN-010,MS-0113",4,cluster,0.67,0.66,0.1133,7.36,9.24,0.797,-0.2426,0.0776,0.3784,0.279,915,8,1,P. Tross,constellation_mapping,0.72,Cluster equilibrium involving 4 entities.,
TE-0240,Inner Stable Configuration,"MS-0111,MS-0119",2,dyadic,0.78,0.62,0.1157,4.29,3.4,1.262,-0.2271,-0.6421,-0.2152,0.113,1830,95,1,P. Tross,stability_testing,0.7,Dyadic equilibrium involving 2 entities.,
TE-0241,,"MS-0047,MS-0102",2,dyadic,0.56,0.55,0.1271,5.41,4.19,1.291,-0.0175,-0.4768,-0.0957,0.155,1844,78,1,P. Tross,constellation_mapping,0.83,Dyadic equilibrium involving 2 entities.,
TE-0242,The Southern Balance,"MS-0139,EN-010",2,dyadic,0.69,0.67,0.1085,3.37,4.19,0.804,0.7731,-0.6962,0.2508,0.2,926,79,14,P. Tross,constellation_mapping,0.78,Dyadic equilibrium involving 2 entities.,
TE-0243,,"MS-0021,MS-0041,MS-0106",3,triadic,0.63,0.51,0.1022,1.8,2.21,0.814,0.1727,0.4022,-0.3952,0.192,1847,99,19,Constellation Survey,historical_persistence,0.79,Triadic equilibrium involving 3 entities.,
TE-0244,,"MS-0097,MS-0017,EN-010,MS-0039,MS-0096,MS-0079,EN-002,MS-0129",8,cluster,0.8,0.7,0.0672,2.57,2.94,0.874,0.4009,-0.6082,0.6622,0.26,1836,10,1,P. Tross,tension_analysis,0.91,Cluster equilibrium involving 8 entities.,
TE-0245,,"EN-010,MS-0024",2,dyadic,0.57,0.51,0.0842,4.12,3.48,1.184,-0.5437,-0.6426,0.7911,0.186,930,99,7,T. Vells,historical_persistence,0.74,Dyadic equilibrium involving 2 entities.,
TE-0246,The Secondary Equilibrium,"MS-0143,MS-0108,MS-0056",3,triadic,0.81,0.63,0.0613,5.05,5.71,0.884,-0.2781,0.3975,-0.5068,0.135,1839,29,1,Archive Survey Team,tension_analysis,0.88,Triadic equilibrium involving 3 entities.,
TE-0247,,"MS-0139,MS-0001,MS-0034,EN-008,MS-0070,MS-0033,MS-0126,MS-0089,MS-0124,EN-003",10,constellation,0.44,0.33,0.0034,5.94,5.98,0.993,-0.1321,0.055,0.3882,0.252,921,34,6,Archive Survey Team,tension_analysis,0.77,Constellation equilibrium involving 10 entities.,
TE-0248,,"MS-0048,MS-0062,MS-0131",3,triadic,0.72,0.66,0.1146,6.03,4.79,1.259,0.691,-0.1027,0.4882,0.153,930,86,0,P. Tross,tension_analysis,0.83,Triadic equilibrium involving 3 entities.,
TE-0249,,"MS-0004,MS-0009",2,dyadic,0.57,0.57,0.0867,4.16,4.95,0.84,-0.4528,-0.0415,0.0924,0.139,1848,36,4,Constellation Survey,stability_testing,0.52,Dyadic equilibrium involving 2 entities.,
TE-0250,,"MS-0014,EN-005,MS-0013,MS-0134,MS-0034,MS-0130",6,cluster,0.78,0.55,0.1155,6.93,8.74,0.793,-0.2404,-0.0167,-0.3029,0.245,920,86,3,T. Vells,constellation_mapping,0.77,Cluster equilibrium involving 6 entities.,
TE-0251,,"MS-0149,MS-0052",2,dyadic,0.84,0.65,0.092,4.74,5.7,0.832,-0.7919,-0.2583,-0.6055,0.197,923,96,17,P. Tross,historical_persistence,0.58,Dyadic equilibrium involving 2 entities.,
TE-0252,,"MS-0021,MS-0097",2,dyadic,0.6,0.45,0.0366,2.37,2.55,0.929,0.7543,0.1203,-0.3279,0.114,1840,67,9,P. Tross,stability_testing,0.91,Dyadic equilibrium involving 2 entities.,
TE-0253,,"MS-0086,MS-0138",2,dyadic,0.88,0.92,0.0066,7.51,7.61,0.987,0.6843,0.1348,-0.2535,0.237,1847,8,1,P. Tross,stability_testing,0.58,Dyadic equilibrium involving 2 entities.,
TE-0254,The Primary Stand,"MS-0063,MS-0096,MS-0053",3,triadic,0.84,0.73,0.0373,4.31,4.0,1.077,0.4827,-0.4708,0.4409,0.166,1842,12,1,Constellation Survey,stability_testing,0.93,Triadic equilibrium involving 3 entities.,
TE-0255,,"MS-0111,EN-010,MS-0146,EN-003,MS-0021,MS-0017",6,nested,0.53,0.53,0.0068,2.23,2.2,1.014,0.7946,-0.0375,0.7312,0.241,928,77,14,Archive Survey Team,constellation_mapping,0.65,Nested equilibrium involving 6 entities.,
TE-0256,,"EN-002,MS-0038,MS-0080,MS-0107,MS-0109,MS-0013",6,nested,0.49,0.51,0.0821,4.35,3.69,1.179,0.7508,0.2513,-0.4861,0.281,921,70,4,T. Vells,constellation_mapping,0.92,Nested equilibrium involving 6 entities.,
TE-0257,Secondary Stable Configuration,"MS-0016,MS-0150",2,dyadic,0.92,0.73,0.0288,5.4,5.72,0.944,0.0737,0.2538,-0.213,0.133,920,86,2,Archive Survey Team,constellation_mapping,0.93,Dyadic equilibrium involving 2 entities.,
TE-0258,,"MS-0056,MS-0036,MS-0039,MS-0064,MS-0109,MS-0104,MS-0111",7,cluster,0.62,0.52,0.1535,5.41,3.97,1.363,-0.0378,-0.532,-0.2796,0.325,1847,18,1,Archive Survey Team,constellation_mapping,0.74,Cluster equilibrium involving 7 entities.,
TE-0259,Northern Stable Configuration,"MS-0140,MS-0052",2,dyadic,0.68,0.5,0.0083,2.42,2.38,1.017,0.7779,-0.577,0.4905,0.22,926,55,7,Archive Survey Team,historical_persistence,0.55,Dyadic equilibrium involving 2 entities.,
TE-0260,,"MS-0130,MS-0150,EN-001,EN-005,MS-0114,EN-012,MS-0004,MS-0017,MS-0112",9,constellation,0.31,0.34,0.0595,1.58,1.78,0.888,0.3995,0.2799,-0.1041,0.302,916,81,9,P. Tross,constellation_mapping,0.94,Constellation equilibrium involving 9 entities.,
TE-0261,Northern Tension Field,"MS-0049,MS-0043",2,dyadic,0.56,0.49,0.0098,7.75,7.6,1.02,-0.3629,-0.2968,0.4272,0.097,919,30,2,Archive Survey Team,constellation_mapping,0.82,Dyadic equilibrium involving 2 entities.,
TE-0262,,"MS-0139,MS-0018",2,dyadic,0.6,0.58,0.0949,1.86,2.25,0.827,-0.551,-0.2479,0.1253,0.196,1850,8,0,Archive Survey Team,stability_testing,0.71,Dyadic equilibrium involving 2 entities.,
TE-0263,The Central Balance,"MS-0079,MS-0104,MS-0004,EN-010,MS-0118,EN-010,EN-012",7,cluster,0.61,0.47,0.0859,4.93,4.15,1.188,0.101,0.3299,0.1829,0.251,922,15,0,K. Strand,tension_analysis,0.6,Cluster equilibrium involving 7 entities.,
TE-0264,The Quintic Tension,"EN-009,EN-001,MS-0078,MS-0089",4,cluster,0.61,0.63,0.0719,6.56,5.68,1.155,0.6664,0.3805,0.3592,0.149,919,52,0,T. Vells,tension_analysis,0.95,Cluster equilibrium involving 4 entities.,
TE-0265,,"EN-004,MS-0145,EN-007",3,triadic,0.6,0.52,0.1152,2.15,2.71,0.793,0.3629,-0.0103,0.6067,0.189,926,69,7,P. Tross,historical_persistence,0.83,Triadic equilibrium involving 3 entities.,
TE-0266,,"MS-0026,MS-0013",2,dyadic,0.92,0.76,0.1446,3.68,2.75,1.338,0.4882,-0.2324,0.2627,0.09,923,87,11,P. Tross,constellation_mapping,0.6,Dyadic equilibrium involving 2 entities.,
TE-0267,,"MS-0041,MS-0106,MS-0091,MS-0080,MS-0081,EN-003",6,cluster,0.86,0.69,0.1291,5.06,6.56,0.771,0.2971,0.7109,0.546,0.198,1847,8,1,Archive Survey Team,constellation_mapping,0.84,Cluster equilibrium involving 6 entities.,
TE-0268,,"MS-0073,MS-0005",2,dyadic,0.82,0.61,0.03,3.26,3.07,1.062,-0.5077,-0.5261,-0.4321,0.21,926,45,2,T. Vells,mathematical_derivation,0.91,Dyadic equilibrium involving 2 entities.,
TE-0269,Stable Stable Configuration,"MS-0016,MS-0048,MS-0136",3,triadic,0.85,0.68,0.1148,4.28,5.39,0.794,0.0073,-0.7745,-0.7594,0.242,927,100,19,Archive Survey Team,historical_persistence,0.55,Triadic equilibrium involving 3 entities.,
TE-0270,Northern Tension Field,"MS-0076,MS-0139,MS-0079,MS-0101,EN-009,MS-0075",6,cluster,0.72,0.51,0.0178,2.76,2.86,0.965,0.6956,0.5741,-0.7454,0.317,919,52,5,T. Vells,mathematical_derivation,0.68,Cluster equilibrium involving 6 entities.,
TE-0271,,"MS-0123,MS-0110,MS-0119,MS-0037,MS-0029,MS-0073",6,cluster,0.6,0.46,0.1346,6.83,5.21,1.311,0.3856,0.0552,-0.7547,0.259,916,12,0,Archive Survey Team,mathematical_derivation,0.5,Cluster equilibrium involving 6 entities.,
TE-0272,,"MS-0114,MS-0018,MS-0085,MS-0067,MS-0073,EN-005,MS-0051,MS-0054",8,cluster,0.67,0.57,0.1752,7.21,5.06,1.425,-0.2688,0.4121,0.0169,0.294,1851,94,13,P. Tross,historical_persistence,0.55,Cluster equilibrium involving 8 entities.,
TE-0273,,"MS-0096,MS-0071,MS-0027,MS-0104,MS-0097,MS-0063,MS-0082,EN-006,MS-0119,MS-0033,MS-0142,MS-0095",12,constellation,0.66,0.72,0.0597,5.59,6.3,0.887,0.6281,0.2263,-0.3348,0.307,927,52,8,K. Strand,constellation_mapping,0.68,Constellation equilibrium involving 12 entities.,
TE-0274,The Breathing Tension,"EN-002,MS-0118,MS-0059,EN-011,MS-0102,MS-0018",6,cluster,0.77,0.62,0.0342,4.66,4.99,0.934,0.0956,0.0326,-0.0853,0.247,922,49,5,T. Vells,historical_persistence,0.84,Cluster equilibrium involving 6 entities.,
TE-0275,The Binary Stand,"MS-0011,EN-004,MS-0124,MS-0038",4,cluster,0.94,0.95,0.0149,1.36,1.32,1.03,-0.547,-0.6278,-0.7216,0.168,921,82,3,P. Tross,historical_persistence,0.9,Cluster equilibrium involving 4 entities.,
TE-0276,The Quintic Stand,"MS-0087,EN-002,MS-0148,MS-0013,MS-0141",5,cluster,0.78,0.74,0.0818,6.17,7.27,0.849,0.3159,-0.7004,-0.0467,0.261,1834,64,12,T. Vells,tension_analysis,0.52,Cluster equilibrium involving 5 entities.,
TE-0277,,"MS-0091,MS-0022",2,dyadic,0.52,0.45,0.0837,6.02,5.09,1.183,-0.6513,-0.3547,0.2837,0.191,1846,79,2,T. Vells,historical_persistence,0.77,Dyadic equilibrium involving 2 entities.,
TE-0278,,"MS-0020,EN-004",2,dyadic,0.95,0.8,0.086,5.47,6.5,0.842,-0.3605,-0.6293,0.4428,0.199,1840,70,2,T. Vells,tension_analysis,0.53,Dyadic equilibrium involving 2 entities.,
TE-0279,,"MS-0142,MS-0078,MS-0040,MS-0096,MS-0038,EN-008,MS-0150,MS-0021",8,cluster,0.85,0.71,0.07,2.75,2.39,1.151,0.3135,0.6873,-0.7525,0.229,1850,28,0,T. Vells,mathematical_derivation,0.58,Cluster equilibrium involving 8 entities.,
TE-0280,The Inner Equilibrium,"MS-0062,MS-0043,MS-0037,MS-0010,MS-0096,MS-0063,MS-0068,MS-0144,MS-0088,MS-0123,EN-010,MS-0083",12,constellation,0.52,0.39,0.1595,5.78,4.19,1.379,0.1831,-0.6645,-0.4161,0.36,915,10,1,Archive Survey Team,mathematical_derivation,0.55,Constellation equilibrium involving 12 entities.,
TE-0281,,"MS-0136,MS-0020",2,dyadic,0.54,0.41,0.1131,1.96,2.46,0.797,-0.5905,0.2374,-0.1367,0.209,919,100,7,Constellation Survey,mathematical_derivation,0.68,Dyadic equilibrium involving 2 entities.,
TE-0282,The Secondary Balance,"MS-0050,MS-0043",2,dyadic,0.9,0.86,0.0462,7.95,8.72,0.912,-0.0657,0.0326,-0.0401,0.166,1841,7,1,P. Tross,historical_persistence,0.87,Dyadic equilibrium involving 2 entities.,
TE-0283,,"EN-006,MS-0063,MS-0124",3,triadic,0.79,0.61,0.109,1.43,1.78,0.803,0.5579,0.3985,-0.4112,0.187,922,68,10,P. Tross,mathematical_derivation,0.61,Triadic equilibrium involving 3 entities.,
TE-0284,,"MS-0067,EN-005,MS-0124,MS-0001,MS-0026,MS-0079,MS-0086",7,cluster,0.62,0.67,0.1252,2.48,3.19,0.777,0.4472,0.6296,0.1956,0.31,1837,20,1,T. Vells,mathematical_derivation,0.69,Cluster equilibrium involving 7 entities.,
TE-0285,,"EN-010,MS-0001,EN-008,MS-0099,MS-0023,MS-0115,MS-0005,MS-0103",8,cluster,0.78,0.57,0.1029,3.59,2.92,1.229,0.2339,-0.4204,-0.1828,0.265,926,61,2,Constellation Survey,constellation_mapping,0.55,Cluster equilibrium involving 8 entities.,
TE-0286,,"EN-008,MS-0091,MS-0132",3,triadic,0.78,0.71,0.1597,2.07,1.5,1.38,0.159,-0.3033,0.3799,0.18,1839,47,3,K. Strand,tension_analysis,0.87,Triadic equilibrium involving 3 entities.,
TE-0287,,"MS-0144,MS-0043,MS-0031",3,triadic,0.94,0.91,0.0604,5.09,4.51,1.129,0.4406,0.4119,-0.4306,0.228,920,49,2,Archive Survey Team,stability_testing,0.68,Triadic equilibrium involving 3 entities.,
TE-0288,The Inner Tension,"EN-001,MS-0104",2,dyadic,0.52,0.43,0.0466,3.03,2.76,1.098,0.786,-0.206,-0.7286,0.184,923,69,9,P. Tross,constellation_mapping,0.61,Dyadic equilibrium involving 2 entities.,
TE-0289,,"MS-0113,MS-0021",2,dyadic,0.73,0.62,0.1012,4.62,5.66,0.816,0.6264,-0.6295,-0.2337,0.142,1832,15,1,T. Vells,mathematical_derivation,0.79,Dyadic equilibrium involving 2 entities.,
TE-0290,,"MS-0017,EN-008,MS-0113",3,triadic,0.94,0.95,0.1049,1.75,2.16,0.81,-0.4028,-0.3496,0.4695,0.231,1844,62,3,T. Vells,mathematical_derivation,0.7,Triadic equilibrium involving 3 entities.,
TE-0291,,"MS-0131,MS-0006",2,dyadic,0.53,0.52,0.0598,4.48,5.05,0.887,-0.5779,-0.5412,0.1223,0.215,1847,49,7,P. Tross,mathematical_derivation,0.87,Dyadic equilibrium involving 2 entities.,
TE-0292,,"MS-0128,MS-0104",2,dyadic,0.54,0.53,0.058,5.2,4.63,1.123,-0.7609,-0.6584,-0.5074,0.216,1831,97,12,Constellation Survey,mathematical_derivation,0.9,Dyadic equilibrium involving 2 entities.,
TE-0293,,"MS-0095,MS-0039",2,dyadic,0.58,0.51,0.0855,7.43,8.82,0.842,0.5138,0.4753,0.6612,0.149,1848,63,12,T. Vells,constellation_mapping,0.83,Dyadic equilibrium involving 2 entities.,
TE-0294,,"MS-0050,MS-0149,EN-011",3,triadic,0.67,0.6,0.0167,6.48,6.7,0.967,-0.3036,0.2291,-0.3028,0.177,925,18,0,T. Vells,mathematical_derivation,0.66,Triadic equilibrium involving 3 entities.,
TE-0295,,"MS-0011,MS-0093,MS-0093,MS-0071,MS-0035,EN-006,MS-0007,MS-0143,MS-0040,MS-0136,MS-0041",11,constellation,0.69,0.69,0.0067,3.01,2.97,1.013,-0.1627,-0.1946,0.0649,0.325,1848,38,7,Constellation Survey,mathematical_derivation,0.91,Constellation equilibrium involving 11 entities.,
TE-0296,,"MS-0137,MS-0126,MS-0116,MS-0088,MS-0144",5,cluster,0.72,0.69,0.1111,5.12,6.4,0.8,0.3828,-0.3884,0.3919,0.269,1844,53,6,Constellation Survey,mathematical_derivation,0.82,Cluster equilibrium involving 5 entities.,
TE-0297,,"MS-0128,MS-0014",2,dyadic,0.53,0.48,0.0836,1.48,1.75,0.846,-0.7912,0.2731,0.428,0.226,1851,20,3,T. Vells,mathematical_derivation,0.77,Dyadic equilibrium involving 2 entities.,
TE-0298,,"MS-0045,MS-0115,MS-0119",3,triadic,0.86,0.93,0.051,6.05,6.7,0.903,0.3026,-0.0055,-0.097,0.184,925,57,3,T. Vells,mathematical_derivation,0.86,Triadic equilibrium involving 3 entities.,
TE-0299,,"MS-0027,MS-0106,MS-0119,MS-0054,EN-012,MS-0076,EN-002",7,cluster,0.87,0.92,0.1188,5.98,4.71,1.27,0.2296,0.1561,0.0361,0.283,1839,20,4,T. Vells,historical_persistence,0.68,Cluster equilibrium involving 7 entities.,
TE-0300,,"MS-0112,MS-0028",2,dyadic,0.55,0.48,0.107,6.83,5.51,1.24,0.1846,0.1009,-0.4145,0.193,928,57,1,K. Strand,mathematical_derivation,0.58,Dyadic equilibrium involving 2 entities.,
