expansion_id,case_name,entity_type,entity_id,entity_scale,initial_temporal_days,initial_spatial_km,initial_social_individuals,initial_abstract_score,initial_profile,final_temporal_days,final_spatial_km,final_social_individuals,final_abstract_score,final_profile,primary_dimension_expanded,expansion_magnitude,expansion_duration_days,expansion_trigger,expansion_mechanism,expansion_year,dens_proximity_km,social_support_level,expansion_stable,reversion_occurred,final_stability,documenter,documentation_method,confidence,description,strand_case_reference,notes
HE-0183,Expansion Case 183,creature,ENT-919,small_group,250.8,45.93,20,0.05,standard_worker,11076.6,72.93,158,0.55,visionary,temporal,2.03,30,new_purpose,sudden_insight,925,149.9,institutional,False,False,fragile,K. Strand,longitudinal_tracking,0.82,Horizon expansion triggered by new_purpose via sudden_insight,SC-7,
HE-0184,Expansion Case 184,creature,ENT-208,small_group,23.1,16.22,11,0.05,standard_worker,742.4,132.42,355,0.34,caretaker,social,1.0,24,mentorship,sudden_insight,919,405.4,strong,False,False,fragile,Independent Observer,behavioral_observation,0.7,Horizon expansion triggered by mentorship via sudden_insight,SC-75,
HE-0185,Expansion Case 185,person,,individual,27.8,11.26,4,0.35,survivor,817.0,57.93,70,0.8,standard_worker,temporal,1.0,708,responsibility,scaffold_building,938,498.5,minimal,False,False,permanent,Boundary Commission,behavioral_observation,0.73,Horizon expansion triggered by responsibility via scaffold_building,,
HE-0186,Expansion Case 186,collective,ENT-178,small_group,151.0,0.75,2,0.11,standard_worker,1937.0,7.0,47,0.36,standard_student,social,1.0,12,crisis_resolution,sudden_insight,919,427.9,minimal,False,False,fluctuating,T. Vells,longitudinal_tracking,0.86,Horizon expansion triggered by crisis_resolution via sudden_insight,SC-95,
HE-0187,Expansion Case 187,person,ENT-350,individual,292.7,11.03,15,0.38,collapsed,2273.7,95.89,179,0.73,standard_student,social,1.0,253,collective_membership,signal_restoration,885,464.8,institutional,True,False,permanent,Boundary Commission,behavioral_observation,0.5,Horizon expansion triggered by collective_membership via signal_restoration,,
HE-0188,Expansion Case 188,person,ENT-222,individual,351.7,28.0,14,0.06,survivor,8921.8,96.19,312,0.26,standard_worker,temporal,1.96,2229,collective_membership,gradual_accumulation,912,107.3,strong,False,True,fluctuating,Independent Observer,behavioral_observation,0.77,Horizon expansion triggered by collective_membership via gradual_accumulation,SC-333,
HE-0189,Expansion Case 189,collective,,large_collective,133.5,16.17,0,0.13,standard_student,1402.5,74.44,88,0.3,standard_student,social,1.0,321,relationship,horizon_transfer,902,462.8,moderate,True,False,permanent,M. Strand,retrospective_interview,0.75,Horizon expansion triggered by relationship via horizon_transfer,SC-164,
HE-0190,Expansion Case 190,collective,ENT-511,small_group,22.8,18.49,20,0.13,standard_worker,711.5,87.73,374,0.4,caretaker,temporal,1.0,865,education,scaffold_building,900,310.8,moderate,False,False,stable,P. Anster,longitudinal_tracking,0.51,Horizon expansion triggered by education via scaffold_building,,
HE-0191,Expansion Case 191,creature,ENT-419,large_collective,245.9,42.38,19,0.2,standard_worker,1524.5,165.34,323,0.49,standard_worker,social,1.14,7,crisis_resolution,sudden_insight,934,470.6,institutional,True,False,permanent,R. Voss,longitudinal_tracking,0.9,Horizon expansion triggered by crisis_resolution via sudden_insight,SC-76,
HE-0192,Expansion Case 192,creature,,large_collective,326.5,1.09,1,0.31,standard_worker,4065.1,10.43,7,0.62,standard_worker,temporal,1.0,513,developmental,institutional_embedding,890,161.7,moderate,True,True,stable,C. Vells,retrospective_interview,0.79,Horizon expansion triggered by developmental via institutional_embedding,,
HE-0193,Expansion Case 193,creature,ENT-651,large_collective,166.3,34.89,8,0.07,survivor,8172.2,316.49,29,0.49,standard_worker,temporal,1.36,720,mentorship,scaffold_building,902,249.2,institutional,True,False,permanent,T. Vells,longitudinal_tracking,0.54,Horizon expansion triggered by mentorship via scaffold_building,,
HE-0194,Expansion Case 194,person,,individual,233.8,34.88,13,0.12,survivor,9866.6,178.59,131,0.56,visionary,temporal,3.83,557,responsibility,horizon_transfer,938,414.5,strong,False,False,stable,C. Vells,pre_post_assessment,0.77,Horizon expansion triggered by responsibility via horizon_transfer,,
HE-0195,Expansion Case 195,creature,,small_group,234.1,19.3,5,0.25,survivor,6559.1,124.01,20,0.58,standard_student,temporal,1.0,29,unknown,sudden_insight,931,454.5,moderate,False,False,fragile,Archive Survey Team,behavioral_observation,0.8,Horizon expansion triggered by unknown via sudden_insight,,
HE-0196,Expansion Case 196,creature,,small_group,194.6,48.64,2,0.1,survivor,935.9,423.44,63,0.28,standard_student,social,1.0,335,education,scaffold_building,885,424.4,minimal,False,False,stable,C. Vells,longitudinal_tracking,0.57,Horizon expansion triggered by education via scaffold_building,SC-43,
HE-0197,Expansion Case 197,creature,,large_collective,164.6,43.84,4,0.26,standard_worker,2643.5,213.44,177,0.61,standard_student,social,1.76,684,relationship,horizon_transfer,889,342.6,moderate,False,False,reverting,Archive Survey Team,longitudinal_tracking,0.55,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0198,Expansion Case 198,creature,,large_collective,216.6,37.83,11,0.37,standard_student,3838.0,67.91,398,0.49,standard_student,social,1.42,328,unknown,horizon_transfer,931,356.1,moderate,True,False,permanent,Klutch CC Counseling,retrospective_interview,0.85,Horizon expansion triggered by unknown via horizon_transfer,SC-364,
HE-0199,Expansion Case 199,collective,,large_collective,140.7,2.25,17,0.19,collapsed,3073.3,15.11,751,0.65,standard_student,social,1.0,102,relationship,horizon_transfer,907,322.2,institutional,True,False,permanent,M. Strand,retrospective_interview,0.66,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0200,Expansion Case 200,creature,ENT-902,small_group,253.5,26.78,15,0.33,standard_student,12231.8,43.41,643,0.83,visionary,temporal,7.9,2,mentorship,sudden_insight,913,403.9,moderate,False,False,fragile,M. Strand,longitudinal_tracking,0.6,Horizon expansion triggered by mentorship via sudden_insight,SC-199,
