observation_id,ghost_name,original_entity_type,original_entity_name,original_destruction_year,original_duration,ghost_type,manifestation,ghost_strength,ghost_stability,observation_location,dens_proximity_km,first_observation_year,observation_count,time_since_original,decay_rate,persistence_category,interacts_with_present,interaction_type,affects_new_substrates,primary_observer,observation_method,scavenger_recognized,confidence,description,notes
GO-0208,Observer's Ghost,structure,Boundary Marker Seven,807,351,spatial_imprint,visible outline,0.49,0.21,Southern terraces,70.7,891,62,84,0.122,short_term,True,creates_instability,False,Quarry Guild Records,scavenger_guidance,False,0.48,Ghost of type spatial_imprint observed at Trapper camp ruins.,
GO-0209,The Survey Memory,place,Archive Basement,861,,spatial_imprint,pattern emergence in new entities,0.34,0.65,Yeller Quarry eastern ridge,48.4,869,10,8,0.021,medium_term,False,,False,R. Voss,pattern_analysis,True,0.57,Ghost of type spatial_imprint observed at Central processing area.,
GO-0210,The Old Trapper Trace,person,Individual of Year 837,783,188,collective_remnant,memory fragments in observers,0.46,0.93,Mill Creek ravine,96.3,885,32,102,0.011,long_term,True,triggers_memories,True,K. Strand,collective_testimony,True,0.59,Ghost of type collective_remnant observed at Northern observation post.,
GO-0211,The Northern Post Trace,collective,Crew of Year 835,,121,collective_remnant,presence awareness,0.82,0.65,Mill Creek ravine,182.5,823,98,53,0.044,long_term,True,influences_new_forms,True,S. Moll,behavioral_tracking,True,0.61,Ghost of type collective_remnant observed at Near Third Mill site.,
GO-0212,The Observer Imprint,place,,848,278,spatial_imprint,sensation without source,0.25,0.32,Yeller Quarry eastern ridge,4.8,912,78,64,,ephemeral,True,triggers_memories,False,Boundary Commission,collective_testimony,True,0.42,Ghost of type spatial_imprint observed at Old mine entrance.,
GO-0213,The Lost Specimen,place,,764,266,form_shadow,memory fragments in observers,0.88,0.72,Western boundary region,111.1,792,49,28,0.075,long_term,False,,False,Archive Survey Team,pattern_analysis,False,0.55,Ghost of type form_shadow observed at Mill Creek ravine.,
GO-0214,The Eastern Ridge Presence,creature,Cave_Bat specimen 32,888,,morphological_scar,memory fragments in observers,0.46,0.36,Western boundary region,68.2,907,57,19,0.1,medium_term,True,creates_instability,True,S. Moll,behavioral_tracking,False,0.86,Ghost of type morphological_scar observed at Deep Quarry tunnels.,
GO-0215,The Boundary Remnant,creature,,,323,memorial_trace,spatial distortion,0.54,0.46,Western boundary region,56.0,904,80,6,0.061,short_term,True,affects_navigation,True,S. Moll,pattern_analysis,False,0.87,Ghost of type memorial_trace observed at Central processing area.,
GO-0216,The Observer Trace,creature,Stakdur specimen 71,,,morphological_scar,sensation without source,0.9,0.61,Near Third Mill site,190.4,816,10,8,0.078,medium_term,False,,False,M. Tall,collective_testimony,True,0.51,Ghost of type morphological_scar observed at Central processing area.,
GO-0217,The Crew Trace,creature,Leatherback specimen 10,,16,morphological_scar,spatial distortion,0.47,0.4,Dens boundary zone,175.3,928,6,14,0.029,long_term,True,affects_navigation,False,S. Moll,direct_perception,False,0.84,Ghost of type morphological_scar observed at Southern terraces.,
GO-0218,Survey's Ghost,collective,Crew of Year 827,846,281,collective_remnant,operational feeling,0.39,0.25,Southern terraces,7.5,921,94,75,0.214,medium_term,True,provides_template,False,C. Vells,form_comparison,False,0.69,Ghost of type collective_remnant observed at Dens boundary zone.,
GO-0219,The Northern Post Echo,creature,Reed_Spinner specimen 74,825,,morphological_scar,operational feeling,0.62,0.47,Dens boundary zone,66.4,857,11,32,0.147,short_term,False,,False,K. Strand,direct_perception,False,0.76,Ghost of type morphological_scar observed at Central processing area.,
GO-0220,The Survey Shadow,collective,Crew of Year 900,857,161,behavioral_echo,behavioral influence,0.81,0.35,Near Third Mill site,114.3,887,53,30,0.014,permanent,False,,False,T. Vells,collective_testimony,False,0.88,Ghost of type behavioral_echo observed at Deep Quarry tunnels.,
GO-0221,The Specimen Presence,collective,Crew of Year 801,792,38,behavioral_echo,spatial distortion,0.78,0.65,Southern terraces,84.3,823,68,31,,long_term,True,creates_instability,True,Quarry Guild Records,scavenger_guidance,False,0.79,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0222,The Lost Northern Post,creature,Tunnel_Cat specimen 76,,245,morphological_scar,spatial distortion,0.39,0.77,Old mine entrance,22.4,925,24,20,,short_term,False,,False,C. Vells,collective_testimony,True,0.89,Ghost of type morphological_scar observed at Central processing area.,
GO-0223,Boundary's Ghost,structure,,916,266,relational_ghost,operational feeling,0.48,0.37,Capital Archives basement,76.5,931,42,15,0.086,long_term,False,,False,T. Vells,pattern_analysis,True,0.92,Ghost of type relational_ghost observed at Old mine entrance.,
GO-0224,The Lost Old Trapper,collective,Crew of Year 866,,470,behavioral_echo,memory fragments in observers,0.56,0.27,Central processing area,176.0,895,97,74,0.031,medium_term,True,affects_navigation,False,T. Vells,direct_perception,True,0.86,Ghost of type behavioral_echo observed at Western boundary region.,
GO-0225,The Northern Post Imprint,structure,,888,233,spatial_imprint,memory fragments in observers,0.4,0.42,Near Third Mill site,160.0,923,92,35,,medium_term,True,influences_new_forms,True,Quarry Guild Records,form_comparison,True,0.88,Ghost of type spatial_imprint observed at Capital Archives basement.,
GO-0226,The Northern Post Echo,person,Individual of Year 845,770,,collective_remnant,visible outline,0.56,0.47,Northern observation post,145.7,827,13,57,,long_term,False,,False,K. Strand,behavioral_tracking,True,0.71,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0227,Mill Creek's Ghost,structure,Old Survey Camp,,,spatial_imprint,pattern emergence in new entities,0.53,0.64,Yeller Quarry eastern ridge,135.0,875,56,29,0.016,medium_term,True,provides_template,False,T. Vells,direct_perception,False,0.54,Ghost of type spatial_imprint observed at Northern observation post.,
GO-0228,The Lost Western Camp,person,Individual of Year 881,839,279,collective_remnant,presence awareness,0.88,0.73,Capital Archives basement,106.6,901,13,62,0.071,medium_term,False,,False,Boundary Commission,form_comparison,False,0.58,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0229,The Lost Western Camp,creature,,,,memorial_trace,pattern emergence in new entities,0.73,0.85,Yeller Quarry eastern ridge,191.3,914,38,119,0.031,long_term,False,,False,Archive Survey Team,form_comparison,True,0.82,Ghost of type memorial_trace observed at Capital Archives basement.,
GO-0230,The Boundary Presence,collective,Crew of Year 852,850,449,collective_remnant,spatial distortion,0.53,0.64,Southern terraces,85.6,907,27,57,,long_term,True,influences_new_forms,False,C. Vells,collective_testimony,False,0.73,Ghost of type collective_remnant observed at Yeller Quarry eastern ridge.,
GO-0231,The Old Trapper Memory,person,Individual of Year 848,,,collective_remnant,operational feeling,0.78,0.23,Old mine entrance,182.5,859,30,86,0.046,permanent,True,affects_navigation,False,Independent Observer,form_comparison,True,0.8,Ghost of type collective_remnant observed at Yeller Quarry eastern ridge.,
GO-0232,Third Mill's Ghost,structure,,884,402,spatial_imprint,operational feeling,0.8,0.38,Mill Creek ravine,100.8,891,52,7,0.008,long_term,True,triggers_memories,False,M. Tall,direct_perception,False,0.79,Ghost of type spatial_imprint observed at Old mine entrance.,
GO-0233,The Western Camp Remnant,creature,,753,12,memorial_trace,memory fragments in observers,0.48,0.67,Capital Archives basement,121.4,892,59,139,0.06,long_term,False,,False,Boundary Commission,scavenger_guidance,False,0.61,Ghost of type memorial_trace observed at Northern observation post.,
GO-0234,The Archive Imprint,structure,,,,spatial_imprint,presence awareness,0.85,0.43,Deep Quarry tunnels,97.2,911,74,18,,medium_term,False,,False,Quarry Guild Records,pattern_analysis,False,0.66,Ghost of type spatial_imprint observed at Near Third Mill site.,
GO-0235,The Survey Imprint,collective,Crew of Year 842,,430,collective_remnant,pattern emergence in new entities,0.17,0.56,Yeller Quarry eastern ridge,20.0,808,99,22,0.359,short_term,True,creates_instability,True,Independent Observer,pattern_analysis,True,0.78,Ghost of type collective_remnant observed at Central processing area.,
GO-0236,The Crew Trace,creature,,,440,memorial_trace,behavioral influence,0.52,0.39,Near Third Mill site,42.6,907,55,89,0.084,medium_term,False,,False,Quarry Guild Records,pattern_analysis,False,0.49,Ghost of type memorial_trace observed at Old mine entrance.,
GO-0237,The Third Mill Imprint,structure,Eastern Ridge,759,151,spatial_imprint,memory fragments in observers,0.71,0.86,Southern terraces,99.5,868,42,109,0.044,medium_term,True,triggers_memories,False,T. Vells,pattern_analysis,True,0.78,Ghost of type spatial_imprint observed at Central processing area.,
GO-0238,The Deep Tunnel Shadow,collective,Crew of Year 866,904,,collective_remnant,visible outline,0.51,0.63,Dens boundary zone,94.9,913,54,9,0.03,permanent,False,,False,R. Voss,direct_perception,False,0.4,Ghost of type collective_remnant observed at Old mine entrance.,
GO-0239,The Old Trapper Memory,person,Individual of Year 888,774,99,behavioral_echo,memory fragments in observers,0.45,0.65,Capital Archives basement,92.3,912,55,138,0.052,permanent,True,triggers_memories,True,Quarry Guild Records,behavioral_tracking,False,0.75,Ghost of type behavioral_echo observed at Deep Quarry tunnels.,
GO-0240,The Western Camp Remnant,structure,Western Boundary,,,spatial_imprint,presence awareness,0.34,0.59,Deep Quarry tunnels,53.3,844,22,23,0.124,long_term,True,affects_navigation,False,M. Tall,collective_testimony,True,0.49,Ghost of type spatial_imprint observed at Yeller Quarry eastern ridge.,
GO-0241,The Specimen Memory,creature,Cave_Bat specimen 7,785,243,morphological_scar,sensation without source,0.61,0.78,Capital Archives basement,161.6,916,67,131,0.04,long_term,True,influences_new_forms,False,Archive Survey Team,pattern_analysis,False,0.86,Ghost of type morphological_scar observed at Old mine entrance.,
GO-0242,The Crew Trace,collective,Crew of Year 871,,218,behavioral_echo,pattern emergence in new entities,0.53,0.59,Central processing area,139.3,926,72,63,,long_term,True,affects_navigation,True,T. Vells,scavenger_guidance,False,0.51,Ghost of type behavioral_echo observed at Dens boundary zone.,
GO-0243,The Third Mill Remnant,place,,751,,relational_ghost,operational feeling,0.34,0.78,Yeller Quarry eastern ridge,62.8,902,90,151,,medium_term,True,triggers_memories,False,C. Vells,direct_perception,False,0.91,Ghost of type relational_ghost observed at Central processing area.,
GO-0244,The Northern Post Shadow,collective,Crew of Year 862,,,collective_remnant,spatial distortion,0.72,0.61,Near Third Mill site,150.2,916,54,122,,medium_term,True,influences_new_forms,True,S. Moll,behavioral_tracking,True,0.7,Ghost of type collective_remnant observed at Deep Quarry tunnels.,
GO-0245,The Specimen Imprint,person,Individual of Year 842,,,collective_remnant,behavioral influence,0.69,0.51,Deep Quarry tunnels,34.7,922,98,91,0.114,medium_term,False,,False,Boundary Commission,direct_perception,True,0.42,Ghost of type collective_remnant observed at Central processing area.,
GO-0246,The Lost Eastern Ridge,collective,Crew of Year 822,912,374,behavioral_echo,behavioral influence,0.52,0.54,Western boundary region,62.9,913,41,1,0.035,medium_term,False,,False,S. Moll,pattern_analysis,False,0.52,Ghost of type behavioral_echo observed at Dens boundary zone.,
GO-0247,The Third Mill Remnant,creature,,813,143,memorial_trace,spatial distortion,0.72,0.65,Central processing area,167.6,853,41,40,0.073,medium_term,False,,False,Archive Survey Team,behavioral_tracking,False,0.5,Ghost of type memorial_trace observed at Capital Archives basement.,
GO-0248,The Third Mill Shadow,creature,Maw_Beast specimen 34,,80,morphological_scar,pattern emergence in new entities,0.45,0.76,Old mine entrance,71.7,899,56,126,0.12,long_term,False,,False,Boundary Commission,pattern_analysis,False,0.93,Ghost of type morphological_scar observed at Southern terraces.,
GO-0249,The Lost Survey,place,Western Boundary,816,338,form_shadow,visible outline,0.42,0.58,Dens boundary zone,94.1,844,90,28,0.014,permanent,True,triggers_memories,False,S. Moll,pattern_analysis,False,0.58,Ghost of type form_shadow observed at Mill Creek ravine.,
GO-0250,The Northern Post Imprint,structure,,828,,spatial_imprint,memory fragments in observers,0.49,0.47,Old mine entrance,93.9,849,48,21,0.007,permanent,True,creates_instability,False,Boundary Commission,direct_perception,False,0.88,Ghost of type spatial_imprint observed at Southern terraces.,
