case_id,case_name,entity_type,entity_id,entity_name,baseline_spatial_km,baseline_temporal_days,baseline_social,baseline_abstract,shrinkage_type,severity,shrinkage_percentage,final_spatial_km,final_temporal_days,final_social,final_abstract,primary_cause,trauma_type,dens_exposure_duration_days,onset,progression_rate,stabilization,duration_to_minimum_days,behavioral_changes,function_impact,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,location,region,observation_year,observer,strand_classification,confidence,cross_reference,notes
HS-0170,Surveyor 82 Field Collapse,individual,,Surveyor,70.0,787,116,4.0,selective_social,moderate,38.3,51.83,534,28,3.0,isolation,none,,gradual,variable,continued_declining,1366,spatial_withdrawal,minimal,True,relocation,worsened,2085,Northern monastery,Northo,909,Capital Healing Institute,Type_IV_isolation,0.74,,
HS-0171,Garrett Rehabilitation Case,individual,ENT-2663,Garrett,20.8,3270,142,2.3,selective_spatial,mild,23.4,7.96,3255,119,1.9,isolation,none,,stepwise,rapid,stabilized_late,217,loss_of_planning,moderate,True,pattern_restoration,stabilization_only,1756,Archive vicinity,Capital,905,Kira Strand,Type_IV_isolation,0.92,,
HS-0172,Trapper 31 Trauma Collapse,colony,ENT-1166,,177.3,3035,118,4.7,selective_spatial,moderate,46.5,47.41,2109,69,2.8,dens_exposure,none,3293,stepwise,moderate,stabilized_late,756,social_isolation,moderate,True,pattern_restoration,partial_recovery,608,Dens interior,Dens,922,Capital Healing Institute,Type_II_dens,0.9,,
HS-0173,Scholar 31 Retirement Decline,creature,ENT-6314,,34.1,261,49,2.5,selective_temporal,severe,52.4,19.46,49,25,1.4,dens_exposure,none,1722,stepwise,rapid,continued_declining,390,social_isolation,moderate,True,medication,no_improvement,386,Tower base,Tower of Mirado,921,Strand Research Group,Type_II_dens,0.81,BD-0015,
HS-0174,Scholar 87 Retirement Decline,individual,ENT-2320,Scholar,32.1,3438,104,5.4,selective_spatial,moderate,48.6,8.24,2295,58,3.1,trauma,loss_of_person,,sudden,rapid,oscillating,15,concrete_thinking,minimal,True,relocation,partial_recovery,2822,Quarry interior,Yeller Quarry,896,K. Vorn,Type_I_trauma,0.94,,
HS-0175,Trapper 81 Trauma Collapse,individual,,,23.0,1076,18,3.9,selective_temporal,terminal,99.2,0.21,3,0,0.0,boundary_dissolution,none,,gradual,rapid,continued_declining,1067,concrete_thinking,severe,False,none,not_attempted,,Scholar's Quarter,Capital,925,P. Anster,unclassified,0.96,BD-0032,
HS-0176,Colony 93 Collective Shrinkage,individual,,Colony,88.4,3025,165,3.0,selective_spatial,severe,59.9,17.74,1577,72,1.3,trauma,loss_of_person,,sudden,rapid,continued_declining,12,spatial_withdrawal,moderate,True,medication,no_improvement,917,Veteran settlement,Tower of Mirado,892,Strand Research Group,Type_I_trauma,0.94,,
HS-0177,Healer 25 Compassion Fatigue,colony,,,189.1,4863,879,4.3,uniform,severe,54.4,86.15,2215,400,2.0,dens_exposure,none,828,gradual,moderate,recovered,1964,temporal_myopia,moderate,False,none,not_attempted,,Dissolution zone,Dens,922,Kira Strand,Type_II_dens,0.65,,
HS-0178,Tessa Dens Exposure,creature,ENT-7106,,10.4,161,43,3.2,selective_social,moderate,45.0,6.86,97,9,2.1,dens_exposure,none,2812,gradual,slow,stabilized_late,443,social_isolation,moderate,False,none,not_attempted,,Sector SW-6,Dens boundary,900,K. Vorn,Type_II_dens,0.87,,
HS-0179,Healer 77 Compassion Fatigue,individual,,Healer,71.9,1866,86,4.0,selective_temporal,terminal,93.1,5.91,51,6,0.3,bridge_failure,none,,sudden,intermittent,recovered,3,spatial_withdrawal,incapacitating,True,pattern_restoration,full_recovery,1645,Capital outskirts,Capital,895,P. Anster,unclassified,0.87,,
HS-0180,Garrett Rehabilitation Case,colony,ENT-7176,Garrett,81.3,2701,61,5.5,asymmetric,mild,12.1,81.03,2623,22,6.0,trauma,navigation_failure,,stepwise,variable,oscillating,2943,present_fixation,moderate,True,horizon_expansion_exercises,no_improvement,1231,Mill vicinity,Yeller Quarry,905,M. Strand,Type_I_trauma,0.97,BD-0054,
HS-0181,Trapper 45 Trauma Collapse,individual,,Trapper,20.1,922,152,2.3,selective_spatial,moderate,42.3,5.8,691,96,1.5,trauma,siege_exposure,,sudden,slow,stabilized_early,15,spatial_withdrawal,minimal,True,temporal_bridging,stabilization_only,743,Capital outskirts,Capital,915,Strand Research Group,Type_I_trauma,0.67,,
HS-0182,Healer 13 Compassion Fatigue,creature,,,29.8,53,20,0.6,asymmetric,mild,13.5,23.72,53,14,0.4,aging,none,,oscillating,slow,stabilized_early,2587,social_isolation,moderate,False,none,not_attempted,,Northern approach,Tower of Mirado,897,Field Observer,Type_III_degradation,0.68,,
HS-0183,Isolation Case 75,institution,,,277.1,1789,1929,7.9,uniform,catastrophic,75.0,69.35,447,482,2.0,isolation,none,,gradual,rapid,stabilized_late,2148,social_isolation,severe,True,social_reconnection,partial_recovery,1790,Archive vicinity,Capital,906,Capital Healing Institute,Type_IV_isolation,0.89,,
HS-0184,Trapper 55 Trauma Collapse,creature,ENT-2830,Trapper,16.9,54,35,2.0,selective_temporal,terminal,95.2,0.97,1,1,0.1,bridge_failure,none,,gradual,slow,stabilized_early,1359,spatial_withdrawal,severe,True,pattern_restoration,partial_recovery,2234,Quarry Sector 7,Yeller Quarry,916,Strand Research Group,unclassified,0.97,,
HS-0185,Post-Siege Veteran 70,institution,ENT-2931,,231.1,3355,3624,9.7,uniform,moderate,42.3,133.34,1935,2090,5.6,trauma,siege_exposure,,oscillating,slow,recovered,966,loss_of_planning,moderate,True,temporal_bridging,full_recovery,2323,Western approach,Dens boundary,890,Field Observer,Type_I_trauma,0.86,,
HS-0186,Student 23 Academic Withdrawal,federation,ENT-3706,Student,37.7,3547,326,6.1,uniform,severe,67.5,12.26,1153,105,2.0,aging,none,,sudden,intermittent,oscillating,7,spatial_withdrawal,severe,False,none,not_attempted,,Mill vicinity,Yeller Quarry,918,Capital Healing Institute,Type_III_degradation,0.52,,
HS-0187,Post-Siege Veteran 90,individual,,Post-Siege,21.6,1060,118,5.5,selective_temporal,moderate,48.6,13.32,217,66,3.4,aging,none,,gradual,rapid,stabilized_late,214,spatial_withdrawal,minimal,True,relocation,partial_recovery,519,Veteran settlement,Tower of Mirado,929,M. Strand,Type_III_degradation,0.91,,
HS-0188,Colony 99 Collective Shrinkage,creature,,Colony,13.2,78,33,1.4,selective_social,severe,65.8,5.42,29,4,0.6,resource_depletion,none,,gradual,slow,recovered,2579,temporal_myopia,moderate,True,temporal_bridging,full_recovery,2809,Capital proper,Capital,923,Kira Strand,unclassified,0.65,,
HS-0189,Healer 44 Compassion Fatigue,individual,ENT-5846,Healer,83.6,1614,163,2.4,uniform,moderate,46.8,44.49,858,86,1.3,isolation,none,,gradual,rapid,recovered,353,present_fixation,minimal,True,horizon_expansion_exercises,full_recovery,250,Sector SW-6,Dens boundary,898,Capital Healing Institute,Type_IV_isolation,0.65,,
HS-0190,Tessa Dens Exposure,individual,,,32.6,2126,78,5.6,uniform,moderate,37.4,20.4,1330,48,3.5,aging,none,,gradual,intermittent,recovered,1844,concrete_thinking,moderate,True,social_reconnection,full_recovery,1937,Recovery settlement,Northo,920,Kira Strand,Type_III_degradation,0.64,,
HS-0191,Garrett Rehabilitation Case,individual,ENT-7607,,53.1,2437,81,2.1,selective_temporal,mild,18.2,52.12,797,72,2.1,trauma,institutional_betrayal,,sudden,rapid,stabilized_late,6,spatial_withdrawal,moderate,True,horizon_expansion_exercises,stabilization_only,1758,Eastern fluctuation zone,Dens boundary,932,P. Anster,Type_I_trauma,0.95,BD-0132,
HS-0192,Tessa Dens Exposure,creature,,,28.8,94,31,2.9,selective_social,severe,57.2,14.78,44,5,1.5,isolation,none,,gradual,moderate,oscillating,2756,loss_of_planning,moderate,True,temporal_bridging,no_improvement,1362,Isolation community,Northo,896,P. Anster,Type_IV_isolation,0.72,,
HS-0193,Isolation Case 5,creature,,,12.1,281,19,2.5,uniform,severe,61.5,4.65,108,7,1.0,dens_exposure,none,576,sudden,rapid,continued_declining,19,present_fixation,moderate,False,none,not_attempted,,Dens interior,Dens,939,Kira Strand,Type_II_dens,0.57,,
HS-0194,Tessa Dens Exposure,colony,ENT-4374,,40.4,8818,199,4.8,selective_social,severe,63.5,17.7,3542,29,2.1,trauma,creature_attack,,gradual,slow,stabilized_late,2369,spatial_withdrawal,severe,True,social_reconnection,stabilization_only,2955,Dens deep,Dens,922,Strand Research Group,Type_I_trauma,0.54,,
HS-0195,Student 64 Academic Withdrawal,federation,ENT-5484,,115.2,1976,408,3.1,uniform,moderate,47.8,60.09,1030,212,1.6,boundary_dissolution,none,,stepwise,intermittent,recovered,841,temporal_myopia,minimal,True,relocation,full_recovery,2002,Western approach,Dens boundary,900,K. Vorn,unclassified,0.9,BD-0183,
HS-0196,Archivist 58 Decline,individual,,,93.1,2684,176,3.7,uniform,catastrophic,84.2,14.67,423,27,0.6,aging,none,,oscillating,slow,oscillating,2771,temporal_myopia,incapacitating,True,horizon_expansion_exercises,stabilization_only,2853,Capital outskirts,Capital,936,M. Strand,Type_III_degradation,0.59,,
HS-0197,Trapper 60 Trauma Collapse,institution,,Trapper,256.7,16409,2450,9.3,selective_spatial,severe,51.6,62.18,10334,1305,5.0,trauma,other,,gradual,intermittent,continued_declining,1083,loss_of_planning,moderate,True,social_reconnection,worsened,2028,Dens interior,Dens,923,Field Observer,Type_I_trauma,0.84,,
HS-0198,Colony 97 Collective Shrinkage,colony,,,62.4,8126,89,5.1,selective_temporal,catastrophic,76.3,17.75,770,23,1.5,pattern_degradation,none,,gradual,rapid,stabilized_late,1301,spatial_withdrawal,incapacitating,True,relocation,partial_recovery,989,Archive vicinity,Capital,893,Capital Healing Institute,Type_III_degradation,0.61,BD-0033,
HS-0199,Tessa Dens Exposure,institution,,,440.4,14133,3731,6.1,selective_temporal,severe,60.6,207.98,2224,1615,2.9,trauma,loss_of_person,,gradual,intermittent,stabilized_early,763,social_isolation,severe,True,temporal_bridging,stabilization_only,2506,Western districts,Capital,924,P. Anster,Type_I_trauma,0.74,,
HS-0200,Post-Siege Veteran 93,colony,ENT-7297,,198.2,9437,287,4.4,selective_temporal,mild,19.3,192.0,3047,254,4.3,aging,none,,gradual,rapid,continued_declining,100,temporal_myopia,minimal,True,medication,no_improvement,815,Northern workings,Yeller Quarry,895,Capital Healing Institute,Type_III_degradation,0.61,,
